market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,167,154,52.02,114992.42,358.23,23110.04,-9999.87,1.1952
derivatives,251,128,123,51.0,38419.75,153.07,10887.33,-5578.19,1.1434
equity,512,259,253,50.59,-47889.41,-93.53,20823.57,-6402.99,0.9352
