market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,167,154,52.02,117340.31,365.55,23685.97,-9999.87,1.1991
derivatives,251,128,123,51.0,36936.19,147.16,10887.33,-5578.19,1.1379
equity,512,259,253,50.59,-55305.21,-108.02,19112.06,-6402.99,0.9257
