market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,169,152,52.65,99528.92,310.06,19791.78,-9999.87,1.1709
derivatives,251,129,122,51.39,39599.5,157.77,9719.35,-5578.19,1.1495
equity,512,258,254,50.39,-68301.06,-133.4,12896.78,-6402.99,0.909
