target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1084,54.52,49397.68,1049397.68,45.57,-109335.1,-9.6267,1.0331,1.4357
2,1084,51.29,70827.36,1070827.36,65.34,-125820.32,-11.0188,1.0443,1.738
3,1084,51.11,98971.29,1098971.29,91.3,-123198.4,-10.5243,1.0618,2.2329
4,1084,51.01,107152.89,1107152.89,98.85,-120036.11,-10.2156,1.067,2.3585
5,1084,51.11,105522.76,1105522.76,97.35,-117338.21,-10.0229,1.0661,2.3542
