market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,182,139,56.7,95551.31,297.67,10043.0,-9999.87,1.1796
derivatives,251,133,118,52.99,-2780.19,-11.08,5171.01,-5578.19,0.9891
equity,512,276,236,53.91,-43373.44,-84.71,6934.74,-6681.43,0.9384
