market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,38,32,54.29,-1620.77,-23.15,1004.02,-999.62,0.923
commodities,GCF,59,32,27,54.24,-1098.17,-18.61,332.12,-540.13,0.827
commodities,HGF,53,27,26,50.94,775.3,14.63,571.97,-311.76,1.1815
commodities,NGF,71,44,27,61.97,6764.38,95.27,741.05,-705.96,1.6154
commodities,SIF,68,40,28,58.82,4752.18,69.89,741.5,-825.28,1.4576
derivatives,CNXAUTO,43,19,24,44.19,-1301.04,-30.26,419.5,-460.42,0.7393
derivatives,CNXFMCG,56,28,28,50.0,220.24,3.93,414.9,-382.75,1.0515
derivatives,CNXIT,53,29,24,54.72,-84.72,-1.6,391.36,-522.96,0.986
derivatives,NSEBANK,50,32,18,64.0,326.34,6.53,270.18,-226.7,1.1375
derivatives,NSEI,49,25,24,51.02,362.75,7.4,351.29,-266.49,1.0974
equity,BHARTIARTL_NS,57,33,24,57.89,1156.92,20.3,509.61,-477.43,1.1766
equity,HDFCBANK_NS,46,23,23,50.0,-1295.92,-28.17,522.04,-661.53,0.8272
equity,ICICIBANK_NS,52,34,18,65.38,307.03,5.9,498.0,-617.61,1.0485
equity,INFY_NS,53,32,21,60.38,2702.66,50.99,582.26,-636.95,1.3629
equity,ITC_NS,57,31,26,54.39,420.2,7.37,419.08,-380.01,1.0845
equity,KOTAKBANK_NS,41,15,26,36.59,-3453.06,-84.22,692.99,-472.26,0.5485
equity,LT_NS,58,33,25,56.9,-46.1,-0.79,644.93,-583.05,0.994
equity,RELIANCE_NS,55,29,26,52.73,-870.38,-15.83,543.99,-605.93,0.8812
equity,SBIN_NS,49,24,25,48.98,-2123.47,-43.34,575.92,-584.16,0.7267
equity,TCS_NS,44,22,22,50.0,-1107.43,-25.17,468.11,-628.07,0.8335
