rank_type,rank,target_level,market,instrument,session_date,signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,1,commodities,CLF,2026-04-22,BUY,LONG,2026-04-22T09:20:00-04:00,2026-04-22T09:25:00-04:00,91.110001,91.108214,89.891324,92.328677,92.328677,93.547353,94.766029,95.984705,97.203382,0.812451,1.218676,89.607165,89.5184,91.130642,65.4128,-0.004413,-0.180805,30.6848,4283.0,3932.3,85.71,14.29,STRONG BULL,809,73706.55,999.01,1,18,2026-04-22T10:50:00-04:00,92.310211,TP1,972.42,44.52,927.9,1.2589,0.9288
BEST,2,1,commodities,CLF,2026-04-01,SELL,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.300003,100.299936,101.373429,99.226577,99.226577,98.153152,97.079726,96.0063,94.932875,0.715617,1.073426,101.786871,101.924898,100.34667,34.6908,-0.142436,-0.091839,26.3343,2997.0,3181.75,0.0,85.71,STRONG BEAR,914,91674.14,999.7,1,4,2026-04-01T09:35:00-04:00,99.246423,TP1,962.91,54.72,908.2,0.9907,0.9085
BEST,3,1,commodities,CLF,2026-04-09,SELL,SHORT,2026-04-09T11:45:00-04:00,2026-04-09T11:50:00-04:00,99.629997,99.620071,100.888035,98.37196,98.37196,97.113922,95.855884,94.597846,93.339809,0.838692,1.258038,100.631546,100.691839,100.883093,43.0709,0.293352,0.750767,37.2903,4809.0,4133.0,0.0,100.0,STRONG BEAR,776,77305.18,999.6,1,3,2026-04-09T12:00:00-04:00,98.391634,TP1,953.27,46.1,907.17,1.1735,0.9075
BEST,4,1,commodities,CLF,2026-04-09,BUY,LONG,2026-04-09T14:25:00-04:00,2026-04-09T14:30:00-04:00,97.889999,97.909577,96.776205,99.003794,99.003794,100.117588,101.231383,102.345177,103.458972,0.74253,1.113794,97.203364,97.189252,98.886419,56.2549,-0.200459,-0.492192,28.2785,14390.0,4312.55,71.43,28.57,STRONG BULL,867,84887.6,999.41,1,10,2026-04-09T15:15:00-04:00,98.983993,TP1,931.52,51.21,880.31,1.037,0.8808
BEST,5,1,commodities,CLF,2026-04-08,BUY,LONG,2026-04-08T14:55:00-04:00,2026-04-08T15:00:00-04:00,95.43,95.449086,94.513286,96.346714,96.346714,97.263428,98.180142,99.096856,100.013571,0.611143,0.916714,94.960845,94.938173,94.647143,54.3056,-0.081643,-0.193891,13.3118,1814.0,4291.85,71.43,0.0,STRONG BULL,1047,99935.19,999.57,1,5,2026-04-08T15:20:00-04:00,96.327445,TP1,919.64,60.24,859.4,0.86,0.8598
BEST,6,1,commodities,CLF,2026-04-01,BUY,LONG,2026-04-01T11:30:00-04:00,2026-04-01T11:35:00-04:00,99.790001,99.799955,98.914298,100.665704,100.665704,101.541408,102.417111,103.292814,104.168517,0.583802,0.875703,99.48776,99.48546,99.285569,52.6222,-0.175047,-0.39614,31.9326,2516.0,2742.85,85.71,0.0,STRONG BULL,1002,99999.55,907.25,1,8,2026-04-01T12:10:00-04:00,100.645571,TP1,847.31,60.25,787.05,0.7871,0.8675
BEST,7,1,commodities,CLF,2026-04-13,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.939807,101.826072,100.073922,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,990,99930.41,897.56,1,1,2026-04-13T12:35:00-04:00,100.093937,TP1,837.41,59.71,777.7,0.7782,0.8665
BEST,8,1,commodities,CLF,2026-04-17,BUY,LONG,2026-04-17T13:00:00-04:00,2026-04-17T13:05:00-04:00,81.730003,81.736345,81.056677,82.40333,82.40333,83.076657,83.749983,84.42331,85.096637,0.448884,0.673327,81.435738,81.396158,81.041983,53.0828,-0.118287,-0.262443,15.4872,2870.0,2435.25,85.71,0.0,STRONG BULL,1223,99963.55,851.06,1,4,2026-04-17T13:20:00-04:00,82.386849,TP1,795.57,60.22,735.35,0.7356,0.864
BEST,9,1,commodities,SIF,2026-03-31,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.214637,72.515849,73.804159,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,1365,99937.98,973.64,1,9,2026-03-31T10:00:00-04:00,73.789398,TP1,784.55,60.2,724.35,0.7248,0.744
BEST,10,1,commodities,CLF,2026-04-07,BUY,LONG,2026-04-07T09:15:00-04:00,2026-04-07T09:20:00-04:00,115.660004,115.683136,114.731834,116.588173,116.588173,117.516343,118.444512,119.372681,120.300851,0.61878,0.928169,113.236431,112.957491,115.459999,77.1695,0.205234,0.018323,23.2723,1477.0,1857.55,71.43,0.0,STRONG BULL,864,99950.23,841.75,1,10,2026-04-07T10:05:00-04:00,116.564855,TP1,761.81,60.2,701.61,0.702,0.8335
WORST,1,1,commodities,CLF,2026-04-24,SELL,SHORT,2026-04-24T09:15:00-04:00,2026-04-24T09:20:00-04:00,94.669998,94.681057,95.609772,93.730224,93.730224,92.79045,91.850676,90.910903,89.971129,0.626516,0.939774,95.925928,95.973522,94.87,36.6801,0.066249,0.213125,19.8737,2268.0,3347.95,0.0,71.43,STRONG BEAR,1055,99888.52,999.97,0,22,2026-04-24T11:05:00-04:00,95.628894,STOP_LOSS,-999.97,60.23,-1060.2,-1.0614,-1.0602
WORST,2,1,commodities,CLF,2026-04-08,SELL,SHORT,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.291136,95.257182,93.462819,93.462819,92.565637,91.668455,90.771274,89.874092,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,1015,95705.5,999.87,0,4,2026-04-08T14:20:00-04:00,95.276234,STOP_LOSS,-999.87,57.72,-1057.6,-1.1051,-1.0577
WORST,3,1,commodities,CLF,2026-03-31,SELL,SHORT,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.509693,102.617006,100.382994,100.382994,99.265987,98.148981,97.031975,95.914968,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,886,89937.59,999.26,0,1,2026-03-31T12:45:00-04:00,102.63753,STOP_LOSS,-999.26,54.26,-1053.53,-1.1714,-1.0543
WORST,4,1,commodities,CLF,2026-04-13,BUY,LONG,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.600718,102.142239,105.037753,105.037753,106.48551,107.933267,109.381025,110.828782,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,676,70034.09,999.74,0,6,2026-04-13T09:45:00-04:00,102.121811,STOP_LOSS,-999.74,41.72,-1041.46,-1.4871,-1.0417
WORST,5,1,commodities,CLF,2026-04-06,SELL,SHORT,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,110.949997,110.927807,111.92345,109.976544,109.976544,109.003092,108.029639,107.056186,106.082734,0.648968,0.973453,111.72238,111.792343,112.10538,39.9699,0.040678,0.205255,16.6209,2283.0,1823.6,14.29,71.43,STRONG BEAR,901,99945.95,917.24,0,3,2026-04-06T10:35:00-04:00,111.945834,STOP_LOSS,-917.24,60.24,-977.49,-0.978,-1.0657
