rank_type,rank,target_level,market,instrument,session_date,signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,5,commodities,CLF,2026-04-13,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.939807,101.826072,96.569621,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,990,99930.41,897.56,4,34,2026-04-13T15:20:00-04:00,97.679536,SESSION_END,3227.67,58.99,3168.68,3.1709,3.5303
BEST,2,5,commodities,CLF,2026-04-10,SELL,SHORT,2026-04-10T12:45:00-04:00,2026-04-10T12:50:00-04:00,98.519997,98.4903,99.118614,95.526911,97.92138,97.322763,96.724146,96.125528,95.526911,0.399078,0.598617,98.736371,98.753015,98.566556,46.055,0.046559,0.13208,18.3202,1987.0,2322.2,0.0,71.43,STRONG BEAR,1015,99967.65,657.86,5,31,2026-04-10T15:20:00-04:00,95.546017,TP5,2988.45,59.08,2929.36,2.9303,4.4529
BEST,3,5,commodities,CLF,2026-04-23,BUY,LONG,2026-04-23T11:25:00-04:00,2026-04-23T11:30:00-04:00,93.660004,93.688732,93.107856,96.420742,94.212151,94.764299,95.316446,95.868594,96.420742,0.368098,0.552148,93.504235,93.494517,93.712974,54.6017,0.020919,0.020763,13.2013,1494.0,1892.7,57.14,14.29,STRONG BULL,1067,99965.88,639.66,5,22,2026-04-23T13:15:00-04:00,96.401457,TP5,2894.48,60.85,2833.63,2.8346,4.4299
BEST,4,5,commodities,SIF,2026-03-31,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.214637,72.515849,76.380778,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,1365,99937.98,973.64,3,73,2026-03-31T15:20:00-04:00,75.334928,SESSION_END,2894.2,60.83,2833.37,2.8351,2.9101
BEST,5,5,equity,RELIANCE_NS,2026-04-06,SELL,SHORT,2026-04-06T09:15:00+05:30,2026-04-06T09:20:00+05:30,1338.699951,1339.132144,1346.188166,1301.258875,1331.211736,1323.723521,1316.235306,1308.747091,1301.258875,4.992143,7.488215,1348.556571,1348.740312,1343.366659,36.0523,0.522914,1.573292,17.2707,0.0,543636.35,0.0,71.43,STRONG BEAR,74,99095.78,542.07,5,20,2026-04-06T10:55:00+05:30,1301.519127,TP5,2783.36,58.62,2724.74,2.7496,5.0265
BEST,6,5,commodities,CLF,2026-04-21,BUY,LONG,2026-04-21T10:10:00-04:00,2026-04-21T10:15:00-04:00,87.760002,87.787551,87.291896,90.100534,88.228109,88.696215,89.164321,89.632428,90.100534,0.312071,0.468106,87.218822,87.186368,87.099956,64.0423,0.001131,-0.061055,23.7291,3613.0,1544.8,85.71,0.0,STRONG BULL,1139,99990.02,584.44,5,24,2026-04-21T12:10:00-04:00,90.082514,TP5,2613.96,60.78,2553.18,2.5534,4.3686
BEST,7,5,commodities,SIF,2026-04-07,SELL,SHORT,2026-04-07T09:15:00-04:00,2026-04-07T09:20:00-04:00,72.084999,72.040589,72.419971,70.410139,71.750027,71.415055,71.080083,70.745111,70.410139,0.223315,0.334972,72.87763,72.922518,72.131666,27.9957,-0.000572,0.072376,14.3868,78.0,43.1,0.0,85.71,STRONG BEAR,1388,99992.34,546.69,5,10,2026-04-07T10:05:00-04:00,70.424221,TP5,2243.52,59.32,2184.2,2.1844,3.9953
BEST,8,5,equity,LT_NS,2026-04-06,BUY,LONG,2026-04-06T11:15:00+05:30,2026-04-06T11:20:00+05:30,3602.5,3605.521009,3585.222869,3688.885655,3619.777131,3637.054262,3654.331393,3671.608524,3688.885655,11.518087,17.277131,3601.500324,3601.476519,3602.17227,51.837,1.971285,4.088554,16.0676,20041.0,25649.9,57.14,14.29,STRONG BULL,27,97349.07,567.41,5,24,2026-04-06T13:15:00+05:30,3688.147878,TP5,2230.93,59.08,2171.85,2.231,3.8276
BEST,9,5,equity,SBIN_NS,2026-04-01,BUY,LONG,2026-04-01T11:40:00+05:30,2026-04-01T11:45:00+05:30,1007.549988,1007.751498,1003.025958,1030.170135,1012.074017,1016.598046,1021.122076,1025.646105,1030.170135,3.01602,4.524029,1004.522421,1004.409504,1005.403665,53.6299,-0.599656,-1.580748,25.2754,181365.0,173928.85,100.0,0.0,STRONG BULL,99,99767.4,487.69,5,19,2026-04-01T13:15:00+05:30,1029.964101,TP5,2199.05,60.52,2138.53,2.1435,4.385
BEST,10,5,equity,RELIANCE_NS,2026-04-27,BUY,LONG,2026-04-27T09:50:00+05:30,2026-04-27T09:55:00+05:30,1336.900024,1337.067409,1331.362012,1364.590085,1342.438037,1347.976049,1353.514061,1359.052073,1364.590085,3.692008,5.538012,1328.905408,1328.375725,1327.643077,67.8559,0.037153,-0.74288,35.495,448135.0,249722.85,100.0,0.0,STRONG BULL,74,98942.99,441.9,5,60,2026-04-27T14:50:00+05:30,1364.317167,TP5,2016.48,59.97,1956.51,1.9774,4.4275
WORST,1,5,commodities,CLF,2026-04-24,SELL,SHORT,2026-04-24T09:15:00-04:00,2026-04-24T09:20:00-04:00,94.669998,94.681057,95.609772,89.971129,93.730224,92.79045,91.850676,90.910903,89.971129,0.626516,0.939774,95.925928,95.973522,94.87,36.6801,0.066249,0.213125,19.8737,2268.0,3347.95,0.0,71.43,STRONG BEAR,1055,99888.52,999.97,0,22,2026-04-24T11:05:00-04:00,95.628894,STOP_LOSS,-999.97,60.23,-1060.2,-1.0614,-1.0602
WORST,2,5,commodities,CLF,2026-04-08,SELL,SHORT,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.291136,95.257182,89.874092,93.462819,92.565637,91.668455,90.771274,89.874092,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,1015,95705.5,999.87,0,4,2026-04-08T14:20:00-04:00,95.276234,STOP_LOSS,-999.87,57.72,-1057.6,-1.1051,-1.0577
