target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1081,41.63,-109174.82,-9174.82,-100.99,-109174.82,-109.1748,0.4735,-3.6955
2,1081,28.86,-96930.07,3069.93,-89.67,-98493.86,-98.4939,0.5997,-4.8032
3,1081,26.18,-84046.46,15953.54,-77.75,-87210.89,-87.2109,0.6606,-11.8608
4,1081,25.99,-77282.58,22717.42,-71.49,-82647.06,-82.3802,0.6886,-10.7116
5,1081,25.72,-71444.23,28555.77,-66.09,-83455.22,-79.6651,0.7125,-9.5233
