target_level,market,instrument,session_date,signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
1,commodities,CLF,2026-03-30,SELL,SHORT,2026-03-30T11:40:00-04:00,2026-03-30T11:45:00-04:00,101.529999,101.519693,102.187734,100.872264,100.872264,100.214529,99.556794,98.899059,98.241324,0.43849,0.657735,102.075535,102.096368,102.124457,42.1444,0.021893,0.084693,13.0405,2423.0,2776.1,0.0,71.43,STRONG BEAR,985,99996.9,678.15,0,2,2026-03-30T11:50:00-04:00,102.208171,STOP_LOSS,-678.15,60.2,-738.35,-0.7384,-1.0888
1,commodities,CLF,2026-03-30,BUY,LONG,2026-03-30T11:55:00-04:00,2026-03-30T12:00:00-04:00,102.970001,102.980591,102.255504,103.684498,103.684498,104.398995,105.113492,105.827989,106.542486,0.476331,0.714497,102.264674,102.175761,102.152513,63.2034,0.088775,0.064525,12.7246,5153.0,2710.8,85.71,0.0,STRONG BULL,971,99994.15,723.92,1,2,2026-03-30T12:05:00-04:00,103.663761,TP1,663.36,60.2,603.16,0.6032,0.8332
1,commodities,CLF,2026-03-30,SELL,SHORT,2026-03-30T14:15:00-04:00,2026-03-30T14:20:00-04:00,102.440002,102.419514,103.028204,101.851801,101.851801,101.2636,100.675399,100.087198,99.498997,0.392134,0.588201,103.005304,103.061645,102.534855,39.0219,0.029376,0.152161,15.7692,4338.0,1958.7,0.0,85.71,STRONG BEAR,976,99961.45,614.19,0,3,2026-03-30T14:30:00-04:00,103.048809,STOP_LOSS,-614.19,60.16,-674.35,-0.6746,-1.098
1,commodities,CLF,2026-03-30,BUY,LONG,2026-03-30T14:45:00-04:00,2026-03-30T14:50:00-04:00,103.209999,103.240645,102.682518,103.73748,103.73748,104.264961,104.792442,105.319923,105.847404,0.351654,0.527481,103.082723,103.07171,102.570504,53.7527,0.037213,0.055731,12.1753,672.0,2381.1,57.14,14.29,STRONG BULL,968,99936.94,560.15,1,4,2026-03-30T15:05:00-04:00,103.716733,TP1,460.85,60.1,400.75,0.401,0.7154
1,commodities,CLF,2026-03-31,SELL,SHORT,2026-03-31T09:45:00-04:00,2026-03-31T09:50:00-04:00,102.870003,102.859421,103.515344,102.224661,102.224661,101.57932,100.933978,100.288636,99.643295,0.430228,0.645342,103.34161,103.343828,103.296883,43.0639,0.04757,0.114881,15.3561,3404.0,2158.15,0.0,85.71,STRONG BEAR,972,99979.36,657.68,1,1,2026-03-31T09:50:00-04:00,102.245106,TP1,597.11,59.81,537.31,0.5374,0.817
1,commodities,CLF,2026-03-31,BUY,LONG,2026-03-31T10:45:00-04:00,2026-03-31T10:50:00-04:00,104.019997,104.040801,103.237874,104.802119,104.802119,105.584241,106.366363,107.148485,107.930608,0.521415,0.782122,103.076168,103.016785,102.914606,63.6698,-0.001649,-0.11519,16.3498,4133.0,2767.6,85.71,0.0,STRONG BULL,961,99983.21,791.45,1,17,2026-03-31T12:10:00-04:00,104.781158,TP1,711.48,60.2,651.28,0.6514,0.8229
1,commodities,CLF,2026-03-31,SELL,SHORT,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.509693,102.617006,100.382994,100.382994,99.265987,98.148981,97.031975,95.914968,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,886,89937.59,999.26,0,1,2026-03-31T12:45:00-04:00,102.63753,STOP_LOSS,-999.26,54.26,-1053.53,-1.1714,-1.0543
1,commodities,CLF,2026-03-31,BUY,LONG,2026-03-31T14:50:00-04:00,2026-03-31T14:55:00-04:00,102.379997,102.390477,101.239415,103.520579,103.520579,104.661161,105.801743,106.942325,108.082907,0.760388,1.140582,102.003632,101.98104,102.43766,53.0835,-0.101607,-0.263694,29.7253,789.0,4151.25,71.43,14.29,STRONG BULL,853,87339.08,999.13,0,6,2026-03-31T15:20:00-04:00,102.23955,SESSION_END,-128.74,52.36,-181.11,-0.2074,-0.1813
1,commodities,CLF,2026-04-01,SELL,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.300003,100.299936,101.373429,99.226577,99.226577,98.153152,97.079726,96.0063,94.932875,0.715617,1.073426,101.786871,101.924898,100.34667,34.6908,-0.142436,-0.091839,26.3343,2997.0,3181.75,0.0,85.71,STRONG BEAR,914,91674.14,999.7,1,4,2026-04-01T09:35:00-04:00,99.246423,TP1,962.91,54.72,908.2,0.9907,0.9085
1,commodities,CLF,2026-04-01,BUY,LONG,2026-04-01T11:30:00-04:00,2026-04-01T11:35:00-04:00,99.790001,99.799955,98.914298,100.665704,100.665704,101.541408,102.417111,103.292814,104.168517,0.583802,0.875703,99.48776,99.48546,99.285569,52.6222,-0.175047,-0.39614,31.9326,2516.0,2742.85,85.71,0.0,STRONG BULL,1002,99999.55,907.25,1,8,2026-04-01T12:10:00-04:00,100.645571,TP1,847.31,60.25,787.05,0.7871,0.8675
