rank_type,rank,target_level,market,instrument,session_date,signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,2,commodities,CLF,2026-04-22,BUY,LONG,2026-04-22T09:20:00-04:00,2026-04-22T09:25:00-04:00,91.110001,91.108214,89.891324,93.547353,92.328677,93.547353,94.766029,95.984705,97.203382,0.812451,1.218676,89.607165,89.5184,91.130642,65.4128,-0.004413,-0.180805,30.6848,4283.0,3932.3,85.71,14.29,STRONG BULL,809,73706.55,999.01,2,40,2026-04-22T12:40:00-04:00,93.528644,TP2,1958.13,44.81,1913.32,2.5959,1.9152
BEST,2,2,commodities,CLF,2026-04-09,SELL,SHORT,2026-04-09T11:45:00-04:00,2026-04-09T11:50:00-04:00,99.629997,99.620071,100.888035,97.113922,98.37196,97.113922,95.855884,94.597846,93.339809,0.838692,1.258038,100.631546,100.691839,100.883093,43.0709,0.293352,0.750767,37.2903,4809.0,4133.0,0.0,100.0,STRONG BEAR,776,77305.18,999.6,2,6,2026-04-09T12:15:00-04:00,97.133345,TP2,1929.7,45.8,1883.9,2.437,1.8846
BEST,3,2,commodities,CLF,2026-04-13,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.939807,101.826072,99.197847,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,990,99930.41,897.56,2,6,2026-04-13T13:00:00-04:00,99.217686,TP2,1704.9,59.45,1645.45,1.6466,1.8333
BEST,4,2,commodities,SIF,2026-03-31,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.214637,72.515849,74.448314,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,1365,99937.98,973.64,2,40,2026-03-31T12:35:00-04:00,74.433424,TP2,1663.64,60.46,1603.18,1.6042,1.6466
BEST,5,2,commodities,CLF,2026-04-17,BUY,LONG,2026-04-17T13:00:00-04:00,2026-04-17T13:05:00-04:00,81.730003,81.736345,81.056677,83.076657,82.40333,83.076657,83.749983,84.42331,85.096637,0.448884,0.673327,81.435738,81.396158,81.041983,53.0828,-0.118287,-0.262443,15.4872,2870.0,2435.25,85.71,0.0,STRONG BULL,1223,99963.55,851.06,2,19,2026-04-17T14:35:00-04:00,83.060041,TP2,1618.88,60.46,1558.42,1.559,1.8311
BEST,6,2,commodities,CLF,2026-04-07,BUY,LONG,2026-04-07T09:15:00-04:00,2026-04-07T09:20:00-04:00,115.660004,115.683136,114.731834,117.516343,116.588173,117.516343,118.444512,119.372681,120.300851,0.61878,0.928169,113.236431,112.957491,115.459999,77.1695,0.205234,0.018323,23.2723,1477.0,1857.55,71.43,0.0,STRONG BULL,864,99950.23,841.75,2,22,2026-04-07T11:05:00-04:00,117.492839,TP2,1563.58,60.44,1503.14,1.5039,1.7857
BEST,7,2,commodities,CLF,2026-04-07,SELL,SHORT,2026-04-07T11:50:00-04:00,2026-04-07T11:55:00-04:00,115.330002,115.306936,116.253439,113.483128,114.406565,113.483128,112.559691,111.636254,110.712817,0.615625,0.923437,115.9684,116.000057,116.232336,44.4894,0.161403,0.405659,21.2035,2041.0,2828.75,0.0,71.43,STRONG BEAR,867,99971.11,840.78,2,24,2026-04-07T13:50:00-04:00,113.505825,TP2,1561.56,59.51,1502.05,1.5025,1.7865
BEST,8,2,commodities,CLF,2026-04-21,SELL,SHORT,2026-04-21T13:55:00-04:00,2026-04-21T14:00:00-04:00,89.419998,89.412114,90.113996,88.032002,88.726,88.032002,87.338003,86.644005,85.950007,0.462666,0.693998,90.008857,90.083394,89.150392,40.4488,0.093645,0.322704,35.8405,3552.0,3002.45,14.29,85.71,STRONG BEAR,1118,99962.74,804.85,2,12,2026-04-21T14:55:00-04:00,88.049608,TP2,1523.28,59.52,1463.76,1.4643,1.8187
BEST,9,2,commodities,CLF,2026-04-24,SELL,SHORT,2026-04-24T11:35:00-04:00,2026-04-24T11:40:00-04:00,94.860001,94.861021,95.530252,93.519498,94.189749,93.519498,92.849246,92.178995,91.508743,0.446834,0.670252,95.237197,95.280187,95.190481,40.9099,-0.05983,-0.071921,14.407,1895.0,2114.0,14.29,57.14,STRONG BEAR,1054,99983.52,725.51,3,2,2026-04-24T11:45:00-04:00,93.538201,TP2,1394.25,59.57,1334.68,1.3349,1.8396
BEST,10,2,commodities,NGF,2026-04-01,SELL,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,2.842,2.841432,2.862064,2.801873,2.821936,2.801873,2.781809,2.761746,2.741682,0.013376,0.020064,2.884646,2.88995,2.842667,24.772,-0.004553,-0.002155,19.8321,1563.0,1185.3,0.0,85.71,STRONG BEAR,35193,99998.5,746.25,2,45,2026-04-01T13:00:00-04:00,2.802433,TP2,1372.48,59.59,1312.89,1.3129,1.7593
