market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,20,50,28.57,-6516.86,-93.1,2860.62,-1060.2,0.7811
commodities,GCF,59,17,42,28.81,-4371.57,-74.09,1141.36,-428.18,0.5506
commodities,HGF,53,14,39,26.42,-6570.42,-123.97,532.6,-671.56,0.3331
commodities,NGF,71,13,58,18.31,-15277.44,-215.18,1402.29,-840.5,0.3999
commodities,SIF,68,17,51,25.0,-8745.89,-128.62,2482.01,-842.43,0.599
derivatives,CNXAUTO,43,14,29,32.56,-430.45,-10.01,916.49,-515.96,0.9342
derivatives,CNXFMCG,56,11,45,19.64,-5517.86,-98.53,783.93,-507.65,0.3932
derivatives,CNXIT,53,17,36,32.08,-807.57,-15.24,1478.69,-485.55,0.9184
derivatives,NSEBANK,50,10,40,20.0,-2866.34,-57.33,372.75,-324.81,0.4712
derivatives,NSEI,49,13,36,26.53,-3222.53,-65.77,706.51,-444.75,0.5797
equity,BHARTIARTL_NS,56,17,39,30.36,-2088.7,-37.3,1171.15,-608.74,0.8255
equity,HDFCBANK_NS,45,11,34,24.44,-4539.84,-100.89,1202.2,-621.47,0.5946
equity,ICICIBANK_NS,51,14,37,27.45,-2277.4,-44.65,1510.31,-598.15,0.7902
equity,INFY_NS,53,13,40,24.53,-4283.31,-80.82,1760.65,-682.44,0.704
equity,ITC_NS,57,10,47,17.54,-7444.2,-130.6,767.67,-519.26,0.346
equity,KOTAKBANK_NS,41,14,27,34.15,503.05,12.27,1112.08,-793.24,1.0591
equity,LT_NS,58,14,44,24.14,-5578.73,-96.19,1266.83,-741.48,0.5785
equity,RELIANCE_NS,55,13,42,23.64,-5401.77,-98.21,1615.93,-643.04,0.5321
equity,SBIN_NS,49,17,32,34.69,632.2,12.9,1243.89,-675.82,1.0646
equity,TCS_NS,44,14,30,31.82,759.17,17.25,1266.31,-565.86,1.0807
