rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
WORST,1,fractional_kelly,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.719998,113.412677,108.33464,2026-04-02T09:40:00-04:00,113.612677,STOP_LOSS,1.07857,0.2,540,102216.85,1.0,1022.05,255.69,6133.01,60328.8,101708.2,306650.55,risk_budget,kelly_warmup_fixed_percent_risk,-1022.05,50.0,-1072.05,-1.777,-1.0489,2,101144.8
WORST,2,fractional_kelly,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.150012,744.151128,774.147781,2026-04-01T10:20:00+05:30,743.951128,STOP_LOSS,3.953574,0.2,99,101845.37,1.0,1009.69,0.0,6110.72,74660.85,0.0,305536.11,risk_budget,kelly_warmup_fixed_percent_risk,-1009.69,50.0,-1059.69,-1.4193,-1.0495,12,100785.68
WORST,3,fractional_kelly,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.349988,358.0716,334.906763,2026-04-06T13:05:00+05:30,358.2716,STOP_LOSS,1.850002,0.2,127,100839.11,1.0,1006.04,986.54,6050.35,44494.45,67757.8,302517.33,risk_budget,kelly_warmup_fixed_percent_risk,-1006.04,50.0,-1056.04,-2.3734,-1.0497,45,97941.17
WORST,4,fractional_kelly,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.3,1213.442591,1177.014818,2026-04-06T11:45:00+05:30,1213.642591,STOP_LOSS,5.042847,0.2,81,100839.11,1.0,999.75,2995.89,6050.35,97305.3,166823.25,302517.33,risk_budget,kelly_warmup_fixed_percent_risk,-999.75,50.0,-1049.75,-1.0788,-1.05,28,99789.36
WORST,5,fractional_kelly,commodities,HGF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,5.625,5.6325,5.625,5.6295,238.0,-0.3543,2026-04-06T09:20:00-04:00,5.633,2026-04-06T09:25:00-04:00,5.833,5.623875,6.25125,2026-04-06T09:25:00-04:00,5.423875,STOP_LOSS,0.008786,0.2,2407,98507.77,1.0,984.76,984.54,5910.47,14040.03,83093.16,295523.31,risk_budget,kelly_warmup_fixed_percent_risk,-984.76,50.0,-1034.76,-7.3701,-1.0508,1,97473.01
WORST,6,fractional_kelly,commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.439998,111.307736,114.704522,2026-04-06T10:15:00-04:00,111.107736,STOP_LOSS,0.505715,0.2,739,98507.77,1.0,984.54,0.0,5910.47,83093.16,0.0,295523.31,risk_budget,kelly_warmup_fixed_percent_risk,-984.54,50.0,-1034.54,-1.245,-1.0508,11,96438.47
WORST,7,fractional_kelly,commodities,SIF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,74.995003,75.150002,74.974998,75.110001,206.0,-0.4711,2026-04-01T09:25:00-04:00,75.220001,2026-04-01T09:30:00-04:00,75.405002,74.980004,76.254998,2026-04-01T09:40:00-04:00,74.780004,STOP_LOSS,0.318213,0.2,1330,100359.56,1.0,831.25,0.0,6021.57,100288.65,0.0,301078.68,per_trade_allocation,kelly_warmup_fixed_percent_risk,-831.25,50.0,-881.25,-0.8787,-1.0602,3,99478.31
WORST,8,fractional_kelly,commodities,NGF,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00-04:00,2.864,2.865,2.856,2.857,917.0,2.2492,2026-04-06T09:20:00-04:00,2.852,2026-04-06T09:25:00-04:00,2.652,2.864573,2.226854,2026-04-06T15:20:00-04:00,3.003,END_OF_DAY,0.009929,0.2,2362,97473.01,1.0,974.5,984.54,5848.38,6264.02,83093.16,292419.03,risk_budget,kelly_warmup_fixed_percent_risk,-829.06,50.0,-879.06,-14.0335,-0.9021,72,95334.62
WORST,9,fractional_kelly,equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8,760.152,717.096,2026-04-06T12:25:00+05:30,760.352,STOP_LOSS,3.832145,0.2,51,100839.11,1.0,742.15,3995.64,6050.35,38035.8,264128.55,302517.33,gross_exposure,kelly_warmup_fixed_percent_risk,-742.15,50.0,-792.15,-2.0826,-1.0674,33,98997.21
WORST,10,fractional_kelly,commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.679997,103.190632,101.658727,2026-03-31T10:35:00-04:00,103.390632,STOP_LOSS,0.445,0.2,999,102605.29,1.0,709.92,0.0,6156.32,102577.32,0.0,307815.87,per_trade_allocation,kelly_warmup_fixed_percent_risk,-709.92,50.0,-759.92,-0.7408,-1.0704,10,101845.37
