sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
volatility_adjusted,commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.969997,101.269743,103.370504,2026-03-30T12:00:00-04:00,103.170504,TARGET,0.457142,0.2,980,100000.0,1.0,882.25,0.0,6000.0,99930.6,0.0,300000.0,per_trade_allocation,fixed_percent_risk,1176.5,50.0,1126.5,1.1273,1.2768,31,101126.5
volatility_adjusted,commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,70.825002,71.379271,69.716463,2026-03-30T15:20:00-04:00,69.916463,TARGET,0.271429,0.2,1325,100000.0,1.0,999.41,882.25,6000.0,93843.13,99930.6,300000.0,risk_budget,fixed_percent_risk,1203.81,50.0,1153.81,1.2295,1.1545,70,102280.31
volatility_adjusted,commodities,GCF,2026-03-31,OPEN_EQUALS_LOW,LONG,2026-03-31T09:15:00-04:00,4610.899902,4616.700195,4610.600098,4613.200195,354.0,1.8353,2026-03-31T09:40:00-04:00,4618.0,2026-03-31T09:45:00-04:00,4618.599902,4609.977722,4635.844262,2026-03-31T09:50:00-04:00,4635.644262,TARGET,9.050119,0.2,22,102280.31,1.0,194.09,0.0,6136.82,101609.2,0.0,306840.93,per_trade_allocation,fixed_percent_risk,374.98,50.0,324.98,0.3198,1.6744,2,102605.29
volatility_adjusted,commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.679997,103.190632,101.658727,2026-03-31T10:35:00-04:00,103.390632,STOP_LOSS,0.445,0.2,999,102605.29,1.0,709.92,0.0,6156.32,102577.32,0.0,307815.87,per_trade_allocation,fixed_percent_risk,-709.92,50.0,-759.92,-0.7408,-1.0704,10,101845.37
volatility_adjusted,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.150012,744.151128,774.147781,2026-04-01T10:20:00+05:30,743.951128,STOP_LOSS,3.953574,0.2,99,101845.37,1.0,1009.69,0.0,6110.72,74660.85,0.0,305536.11,risk_budget,fixed_percent_risk,-1009.69,50.0,-1059.69,-1.4193,-1.0495,12,100785.68
volatility_adjusted,derivatives,CNXAUTO,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,24508.849609,24527.150391,24397.099609,24507.199219,0.0,2.9226,2026-04-01T10:25:00+05:30,24386.0,2026-04-01T10:30:00+05:30,24387.25,24513.751379,24134.247241,2026-04-01T13:10:00+05:30,24518.751379,STOP_LOSS,73.27832,5.0,4,100785.68,1.0,526.01,0.0,6047.14,97549.0,0.0,302357.04,per_trade_allocation,fixed_percent_risk,-526.01,50.0,-576.01,-0.5905,-1.0951,33,100209.67
volatility_adjusted,derivatives,NSEI,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,22878.900391,22894.699219,22811.400391,22887.0,0.0,2.2409,2026-04-01T10:25:00+05:30,22796.5,2026-04-01T10:30:00+05:30,22792.099609,22883.476171,22609.346487,2026-04-01T13:15:00+05:30,22888.476171,STOP_LOSS,43.349749,5.0,4,100785.68,1.0,385.51,526.01,6047.14,91168.4,97549.0,302357.04,per_trade_allocation,fixed_percent_risk,-385.51,50.0,-435.51,-0.4777,-1.1297,34,99774.16
volatility_adjusted,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.3,1815.363,1776.174,2026-04-01T15:20:00+05:30,1783.600024,END_OF_DAY,3.371434,0.2,55,100785.68,1.0,729.47,911.52,6047.14,99126.5,188717.4,302357.04,per_trade_allocation,fixed_percent_risk,1028.5,50.0,978.5,0.9871,1.3414,59,100752.66
volatility_adjusted,equity,RELIANCE_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1376.300049,1377.400024,1365.0,1369.900024,0.0,2.1752,2026-04-01T13:40:00+05:30,1364.900024,2026-04-01T13:45:00+05:30,1364.8,1376.575309,1341.249382,2026-04-01T15:20:00+05:30,1369.500049,END_OF_DAY,2.735718,0.2,73,99774.16,1.0,874.2,729.47,5986.45,99630.4,99126.5,299322.48,per_trade_allocation,fixed_percent_risk,-343.1,50.0,-393.1,-0.3946,-0.4497,20,100359.56
volatility_adjusted,commodities,SIF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,74.995003,75.150002,74.974998,75.110001,206.0,-0.4711,2026-04-01T09:25:00-04:00,75.220001,2026-04-01T09:30:00-04:00,75.405002,74.980004,76.254998,2026-04-01T09:40:00-04:00,74.780004,STOP_LOSS,0.318213,0.2,1330,100359.56,1.0,831.25,0.0,6021.57,100288.65,0.0,301078.68,per_trade_allocation,fixed_percent_risk,-831.25,50.0,-881.25,-0.8787,-1.0602,3,99478.31
volatility_adjusted,commodities,GCF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,4758.100098,4768.0,4757.899902,4766.299805,719.0,1.1071,2026-04-01T09:35:00-04:00,4773.600098,2026-04-01T09:40:00-04:00,4773.300098,4757.148478,4805.603338,2026-04-01T10:00:00-04:00,4756.948478,STOP_LOSS,12.128592,0.2,20,99478.31,1.0,327.03,0.0,5968.7,95466.0,0.0,298434.93,per_trade_allocation,fixed_percent_risk,-327.03,50.0,-377.03,-0.3949,-1.1529,5,99101.28
volatility_adjusted,equity,SBIN_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1001.0,1002.0,986.25,987.0,0.0,-1.4715,2026-04-02T10:00:00+05:30,982.299988,2026-04-02T10:05:00+05:30,981.950024,1001.2002,943.449673,2026-04-02T13:35:00+05:30,1001.4002,STOP_LOSS,4.792868,0.2,15,99101.28,1.0,291.75,2845.04,5946.08,14729.25,282243.6,297303.84,gross_exposure,fixed_percent_risk,-291.75,50.0,-341.75,-2.3202,-1.1714,43,98759.53
volatility_adjusted,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.2,2380.623878,2451.352245,2026-04-02T13:35:00+05:30,2451.152245,TARGET,7.557094,0.2,41,99101.28,1.0,974.82,981.69,5946.08,98572.2,85391.5,297303.84,risk_budget,fixed_percent_risk,1925.04,50.0,1875.04,1.9022,1.9235,51,100634.57
volatility_adjusted,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.500049,1260.047989,1303.404169,2026-04-02T15:10:00+05:30,1303.204169,TARGET,4.492833,0.2,67,99101.28,1.0,981.69,0.0,5946.08,85391.5,0.0,297303.84,risk_budget,fixed_percent_risk,1923.18,50.0,1873.18,2.1936,1.9081,70,102507.75
volatility_adjusted,equity,RELIANCE_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1358.0,1358.0,1349.400024,1351.199951,0.0,-0.8252,2026-04-02T09:35:00+05:30,1347.0,2026-04-02T09:40:00+05:30,1346.3,1358.2716,1322.3568,2026-04-02T15:20:00+05:30,1349.600024,END_OF_DAY,4.171439,0.2,73,99101.28,1.0,888.53,1956.51,5946.08,98279.9,183963.7,297303.84,per_trade_allocation,fixed_percent_risk,-240.9,50.0,-290.9,-0.296,-0.3274,69,102216.85
