rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
WORST,1,fixed_fractional,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.719998,113.412677,108.33464,2026-04-02T09:40:00-04:00,113.612677,STOP_LOSS,1.07857,0.2,540,102216.85,1.0,1022.05,255.69,6133.01,60328.8,101708.2,306650.55,risk_budget,fixed_percent_risk,-1022.05,50.0,-1072.05,-1.777,-1.0489,2,101144.8
WORST,2,fixed_fractional,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.150012,744.151128,774.147781,2026-04-01T10:20:00+05:30,743.951128,STOP_LOSS,3.953574,0.2,99,101845.37,1.0,1009.69,0.0,6110.72,74660.85,0.0,305536.11,risk_budget,fixed_percent_risk,-1009.69,50.0,-1059.69,-1.4193,-1.0495,12,100785.68
WORST,3,fixed_fractional,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.349988,358.0716,334.906763,2026-04-06T13:05:00+05:30,358.2716,STOP_LOSS,1.850002,0.2,127,100839.11,1.0,1006.04,986.54,6050.35,44494.45,67757.8,302517.33,risk_budget,fixed_percent_risk,-1006.04,50.0,-1056.04,-2.3734,-1.0497,45,97941.17
WORST,4,fixed_fractional,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.3,1213.442591,1177.014818,2026-04-06T11:45:00+05:30,1213.642591,STOP_LOSS,5.042847,0.2,81,100839.11,1.0,999.75,2995.89,6050.35,97305.3,166823.25,302517.33,risk_budget,fixed_percent_risk,-999.75,50.0,-1049.75,-1.0788,-1.05,28,99789.36
WORST,5,fixed_fractional,commodities,HGF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,5.625,5.6325,5.625,5.6295,238.0,-0.3543,2026-04-06T09:20:00-04:00,5.633,2026-04-06T09:25:00-04:00,5.833,5.623875,6.25125,2026-04-06T09:25:00-04:00,5.423875,STOP_LOSS,0.008786,0.2,2407,98507.77,1.0,984.76,984.54,5910.47,14040.03,83093.16,295523.31,risk_budget,fixed_percent_risk,-984.76,50.0,-1034.76,-7.3701,-1.0508,1,97473.01
WORST,6,fixed_fractional,commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.439998,111.307736,114.704522,2026-04-06T10:15:00-04:00,111.107736,STOP_LOSS,0.505715,0.2,739,98507.77,1.0,984.54,0.0,5910.47,83093.16,0.0,295523.31,risk_budget,fixed_percent_risk,-984.54,50.0,-1034.54,-1.245,-1.0508,11,96438.47
WORST,7,fixed_fractional,equity,INFY_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,1329.900024,1329.900024,1316.099976,1321.599976,0.0,-1.2035,2026-04-09T09:40:00+05:30,1315.199951,2026-04-09T09:45:00+05:30,1314.8,1330.166004,1284.067991,2026-04-09T12:55:00+05:30,1330.366004,STOP_LOSS,5.271423,0.2,63,98289.42,1.0,980.66,1959.45,5897.37,82832.4,180156.35,294868.26,risk_budget,fixed_percent_risk,-980.66,50.0,-1030.66,-1.2443,-1.051,39,97258.76
WORST,8,fixed_fractional,equity,INFY_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,1302.599976,1314.0,1302.099976,1313.400024,0.0,2.0447,2026-04-15T09:20:00+05:30,1320.5,2026-04-15T09:25:00+05:30,1320.2,1302.339456,1355.921089,2026-04-15T11:35:00+05:30,1302.139456,STOP_LOSS,5.878584,0.2,54,97983.18,1.0,975.27,0.0,5878.99,71290.8,0.0,293949.54,risk_budget,fixed_percent_risk,-975.27,50.0,-1025.27,-1.4382,-1.0513,27,96957.91
WORST,9,fixed_fractional,commodities,NGF,2026-04-15,OPEN_EQUALS_HIGH,SHORT,2026-04-15T09:15:00-04:00,2.607,2.607,2.594,2.595,664.0,0.1922,2026-04-15T09:25:00-04:00,2.593,2026-04-15T09:30:00-04:00,2.393,2.607522,1.963957,2026-04-15T10:35:00-04:00,2.807522,STOP_LOSS,0.009714,0.2,2325,96376.27,1.0,963.76,963.69,5782.58,5563.72,96275.14,289128.81,risk_budget,fixed_percent_risk,-963.76,50.0,-1013.76,-18.2209,-1.0519,14,94348.82
WORST,10,fixed_fractional,commodities,CLF,2026-04-15,OPEN_EQUALS_HIGH,SHORT,2026-04-15T09:15:00-04:00,91.43,91.440002,91.129997,91.309998,1343.0,-0.2944,2026-04-15T09:25:00-04:00,90.959999,2026-04-15T09:30:00-04:00,90.740002,91.448286,89.323435,2026-04-15T09:55:00-04:00,91.648286,STOP_LOSS,0.417858,0.2,1061,96376.27,1.0,963.69,0.0,5782.58,96275.14,0.0,289128.81,risk_budget,fixed_percent_risk,-963.69,50.0,-1013.69,-1.0529,-1.0519,6,95362.58
