date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,2,2,0,2380.31,100.0,2280.31,2.2803,102280.31,0.0,0.0
2026-03-31,2,1,1,-334.94,100.0,-434.94,-0.4252,101845.37,-434.94,-0.4252
2026-04-01,7,1,6,-2394.09,350.0,-2744.09,-2.6944,99101.28,-3179.03,-3.1082
2026-04-02,6,2,4,2164.64,300.0,1864.64,1.8815,100965.92,-1314.39,-1.2851
2026-04-06,9,1,8,-5058.1,450.0,-5508.1,-5.4554,95457.82,-6822.49,-6.6704
2026-04-07,2,2,0,1616.94,100.0,1516.94,1.5891,96974.76,-5305.55,-5.1873
2026-04-08,4,3,1,1641.65,200.0,1441.65,1.4866,98416.41,-3863.9,-3.7778
2026-04-09,6,2,4,-2297.22,300.0,-2597.22,-2.639,95819.19,-6461.12,-6.3171
2026-04-10,7,4,3,1140.19,350.0,790.19,0.8247,96609.38,-5670.93,-5.5445
2026-04-13,1,0,1,-700.09,50.0,-750.09,-0.7764,95859.29,-6421.02,-6.2779
2026-04-14,3,2,1,2409.46,150.0,2259.46,2.3571,98118.75,-4161.56,-4.0688
2026-04-15,7,0,7,-4030.1,350.0,-4380.1,-4.4641,93738.65,-8541.66,-8.3512
2026-04-16,7,3,4,102.27,350.0,-247.73,-0.2643,93490.92,-8789.39,-8.5934
2026-04-17,7,3,4,-440.25,350.0,-790.25,-0.8453,92700.67,-9579.64,-9.3661
2026-04-20,7,3,4,-1705.4,350.0,-2055.4,-2.2172,90645.27,-11635.04,-11.3756
2026-04-21,6,0,6,-2469.47,300.0,-2769.47,-3.0553,87875.8,-14404.51,-14.0834
2026-04-22,5,4,1,857.31,250.0,607.31,0.6911,88483.11,-13797.2,-13.4896
2026-04-23,6,1,5,-2402.64,300.0,-2702.64,-3.0544,85780.47,-16499.84,-16.132
2026-04-24,6,2,4,-1474.86,300.0,-1774.86,-2.0691,84005.61,-18274.7,-17.8673
2026-04-27,8,2,6,-2764.82,400.0,-3164.82,-3.7674,80840.79,-21439.52,-20.9615
2026-04-28,5,0,5,-2722.81,250.0,-2972.81,-3.6774,77867.98,-24412.33,-23.8681
2026-04-29,6,5,1,1346.96,300.0,1046.96,1.3445,78914.94,-23365.37,-22.8444
