position_sizing_method,total_candidates,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
fixed_fractional,138,121,35.54,-21692.67,78307.33,-179.28,-25841.93,-25.1858,0.5468,-7.1789
volatility_adjusted,138,119,36.13,-21085.06,78914.94,-177.19,-25297.87,-24.6555,0.5549,-6.9532
fractional_kelly,138,31,35.48,-2812.9,97187.1,-90.74,-7270.67,-7.0861,0.7871,-2.108
