timeframe,ma_period,input_file,tested_start_date,tested_end_date,first_csv_timestamp,first_ma_usable_timestamp,activation_timestamp,gap_events,missing_candles_total,total_trades,long_trades,short_trades,winning_trades,losing_trades,win_rate_pct,total_points,average_points,max_drawdown_points,starting_capital,fixed_trade_notional_usd,gross_pnl_usd,average_pnl_usd,ending_equity,total_return_pct,max_drawdown_usd,max_drawdown_pct
15m,96,btc/data/BTCUSD_data_15m.csv,2025-05-15,2025-05-21,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2025-05-15 00:00:00+00:00,0,0,63,32,31,10,53,15.8730,-2115.86,-33.59,3641.25,1000000.00,1000000.00,-20344.54,-322.93,979655.46,-2.0345,34868.14,3.4690
30m,48,btc/data/BTCUSD_data_30m.csv,2025-05-15,2025-05-21,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,49,25,24,9,40,18.3673,-3599.12,-73.45,4592.33,1000000.00,1000000.00,-34495.12,-703.98,965504.88,-3.4495,43958.52,4.3763
1h,24,btc/data/BTCUSD_data_1h.csv,2025-05-15,2025-05-21,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2025-05-15 00:00:00+00:00,0,0,35,19,16,6,29,17.1429,-5752.58,-164.36,5752.58,1000000.00,1000000.00,-54833.49,-1566.67,945166.51,-5.4833,54833.48,5.4833
