market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,101,220,31.46,-10485.64,-32.67,3479.16,-999.28,0.8591
derivatives,251,86,165,34.26,7891.98,31.44,1453.07,-419.5,1.3218
equity,509,160,349,31.43,27951.65,54.91,2268.32,-692.99,1.365
