rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,5,commodities,CLF,2026-04-13,SELL,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.959999,101.826072,96.569621,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,990,99950.4,857.41,4,34,2026-04-13T15:20:00-04:00,97.660004,SESSION_END,3267.0,0.0,3267.0,3.2686,3.8103
BEST,2,5,commodities,CLF,2026-04-10,SELL,SELL,SHORT,2026-04-10T12:45:00-04:00,2026-04-10T12:50:00-04:00,98.519997,98.510002,99.118614,95.526911,97.92138,97.322763,96.724146,96.125528,95.526911,0.399078,0.598617,98.736371,98.753015,98.566556,46.055,0.046559,0.13208,18.3202,1987.0,2322.2,0.0,71.43,STRONG BEAR,1015,99987.65,617.74,5,31,2026-04-10T15:20:00-04:00,95.526911,TP5,3027.84,0.0,3027.84,3.0282,4.9015
BEST,3,5,commodities,SIF,2026-03-31,BUY,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.199997,72.515849,76.380778,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,1366,99991.2,934.55,3,73,2026-03-31T15:20:00-04:00,75.349998,SESSION_END,2936.9,0.0,2936.9,2.9372,3.1426
BEST,4,5,commodities,CLF,2026-04-23,BUY,BUY,LONG,2026-04-23T11:25:00-04:00,2026-04-23T11:30:00-04:00,93.660004,93.669998,93.107856,96.420742,94.212151,94.764299,95.316446,95.868594,96.420742,0.368098,0.552148,93.504235,93.494517,93.712974,54.6017,0.020919,0.020763,13.2013,1494.0,1892.7,57.14,14.29,STRONG BULL,1067,99945.89,599.81,5,22,2026-04-23T13:15:00-04:00,96.420742,TP5,2935.04,0.0,2935.04,2.9366,4.8933
BEST,5,5,equity,RELIANCE_NS,2026-04-06,SELL,SELL,SHORT,2026-04-06T09:15:00+05:30,2026-04-06T09:20:00+05:30,1338.699951,1339.400024,1346.188166,1301.258875,1331.211736,1323.723521,1316.235306,1308.747091,1301.258875,4.992143,7.488215,1348.556571,1348.740312,1343.366659,36.0523,0.522914,1.573292,17.2707,0.0,543636.35,0.0,71.43,STRONG BEAR,74,99115.6,502.32,5,20,2026-04-06T10:55:00+05:30,1301.258875,TP5,2822.44,0.0,2822.44,2.8476,5.6188
BEST,6,5,commodities,CLF,2026-04-21,BUY,BUY,LONG,2026-04-21T10:10:00-04:00,2026-04-21T10:15:00-04:00,87.760002,87.769997,87.291896,90.100534,88.228109,88.696215,89.164321,89.632428,90.100534,0.312071,0.468106,87.218822,87.186368,87.099956,64.0423,0.001131,-0.061055,23.7291,3613.0,1544.8,85.71,0.0,STRONG BULL,1139,99970.03,544.56,5,24,2026-04-21T12:10:00-04:00,90.100534,TP5,2654.48,0.0,2654.48,2.6553,4.8745
BEST,7,5,commodities,SIF,2026-04-07,SELL,SELL,SHORT,2026-04-07T09:15:00-04:00,2026-04-07T09:20:00-04:00,72.084999,72.055,72.419971,70.410139,71.750027,71.415055,71.080083,70.745111,70.410139,0.223315,0.334972,72.87763,72.922518,72.131666,27.9957,-0.000572,0.072376,14.3868,78.0,43.1,0.0,85.71,STRONG BEAR,1387,99940.29,506.21,5,10,2026-04-07T10:05:00-04:00,70.410139,TP5,2281.42,0.0,2281.42,2.2828,4.5069
BEST,8,5,equity,LT_NS,2026-04-06,BUY,BUY,LONG,2026-04-06T11:15:00+05:30,2026-04-06T11:20:00+05:30,3602.5,3604.800049,3585.222869,3688.885655,3619.777131,3637.054262,3654.331393,3671.608524,3688.885655,11.518087,17.277131,3601.500324,3601.476519,3602.17227,51.837,1.971285,4.088554,16.0676,20041.0,25649.9,57.14,14.29,STRONG BULL,27,97329.6,528.58,5,24,2026-04-06T13:15:00+05:30,3688.885655,TP5,2270.31,0.0,2270.31,2.3326,4.2951
BEST,9,5,equity,SBIN_NS,2026-04-01,BUY,BUY,LONG,2026-04-01T11:40:00+05:30,2026-04-01T11:45:00+05:30,1007.549988,1007.549988,1003.025958,1030.170135,1012.074017,1016.598046,1021.122076,1025.646105,1030.170135,3.01602,4.524029,1004.522421,1004.409504,1005.403665,53.6299,-0.599656,-1.580748,25.2754,181365.0,173928.85,100.0,0.0,STRONG BULL,99,99747.45,447.88,5,19,2026-04-01T13:15:00+05:30,1030.170135,TP5,2239.39,0.0,2239.39,2.2451,5.0
BEST,10,5,equity,RELIANCE_NS,2026-04-27,BUY,BUY,LONG,2026-04-27T09:50:00+05:30,2026-04-27T09:55:00+05:30,1336.900024,1336.800049,1331.362012,1364.590085,1342.438037,1347.976049,1353.514061,1359.052073,1364.590085,3.692008,5.538012,1328.905408,1328.375725,1327.643077,67.8559,0.037153,-0.74288,35.495,448135.0,249722.85,100.0,0.0,STRONG BULL,74,98923.2,402.41,5,60,2026-04-27T14:50:00+05:30,1364.590085,TP5,2056.46,0.0,2056.46,2.0788,5.1104
WORST,1,5,commodities,CLF,2026-04-08,SELL,SELL,SHORT,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.309998,95.257182,89.874092,93.462819,92.565637,91.668455,90.771274,89.874092,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,1055,99497.05,999.28,0,4,2026-04-08T14:20:00-04:00,95.257182,STOP_LOSS,-999.28,0.0,-999.28,-1.0043,-1.0
