market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,23,47,32.86,416.05,5.94,2049.44,-999.28,1.0171
commodities,GCF,59,23,36,38.98,1649.48,27.96,822.41,-332.12,1.2819
commodities,HGF,53,21,32,39.62,-187.57,-3.54,632.03,-571.97,0.9679
commodities,NGF,71,19,52,26.76,-5352.03,-75.38,1411.91,-741.05,0.7248
commodities,SIF,68,24,44,35.29,-3879.73,-57.05,1705.2,-741.5,0.7719
derivatives,CNXAUTO,43,20,23,46.51,2520.9,58.63,728.11,-419.5,1.5807
derivatives,CNXFMCG,56,18,38,32.14,-1146.19,-20.47,582.22,-414.9,0.7922
derivatives,CNXIT,53,20,33,37.74,2346.12,44.27,1046.66,-391.36,1.3515
derivatives,NSEBANK,50,15,35,30.0,75.85,1.52,328.37,-270.18,1.0252
derivatives,NSEI,49,18,31,36.73,573.99,11.71,532.59,-351.29,1.1278
equity,BHARTIARTL_NS,56,19,37,33.93,1994.29,35.61,920.52,-509.61,1.244
equity,HDFCBANK_NS,45,15,30,33.33,-934.61,-20.77,878.02,-522.04,0.8751
equity,ICICIBANK_NS,51,14,37,27.45,412.95,8.1,1073.34,-498.0,1.0575
equity,INFY_NS,53,16,37,30.19,-955.26,-18.02,1235.89,-582.26,0.9098
equity,ITC_NS,57,13,44,22.81,-2507.32,-43.99,725.92,-419.08,0.6341
equity,KOTAKBANK_NS,41,16,25,39.02,2647.15,64.56,808.69,-692.99,1.4463
equity,LT_NS,58,19,39,32.76,994.06,17.14,1118.1,-644.93,1.1132
equity,RELIANCE_NS,55,19,36,34.55,712.79,12.96,1160.06,-543.99,1.0991
equity,SBIN_NS,49,20,29,40.82,3776.37,77.07,895.76,-575.92,1.5681
equity,TCS_NS,44,17,27,38.64,2593.28,58.94,1236.64,-468.11,1.3919
