target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1081,44.96,-6540.62,93459.38,-6.05,-17730.0,-16.9526,0.9562,-1.4779
2,1081,34.14,5750.57,105750.57,5.32,-12851.3,-12.7072,1.0334,1.4964
3,1081,32.19,18634.84,118634.84,17.24,-11423.31,-10.5793,1.1064,3.9623
4,1081,32.1,25357.99,125357.99,23.46,-10485.58,-8.5214,1.1445,5.0788
5,1081,32.01,31199.07,131199.07,28.86,-13153.83,-10.2682,1.1776,5.319
