rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,4,commodities,CLF,2026-04-13,SELL,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.959999,101.826072,97.445696,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,990,99950.4,857.41,4,28,2026-04-13T14:50:00-04:00,97.445696,TP4,3479.16,0.0,3479.16,3.4809,4.0578
BEST,2,4,commodities,SIF,2026-03-31,BUY,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.199997,72.515849,75.736623,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,1366,99991.2,934.55,3,73,2026-03-31T15:20:00-04:00,75.349998,SESSION_END,2936.9,0.0,2936.9,2.9372,3.1426
BEST,3,4,commodities,CLF,2026-04-10,SELL,SELL,SHORT,2026-04-10T12:45:00-04:00,2026-04-10T12:50:00-04:00,98.519997,98.510002,99.118614,96.125528,97.92138,97.322763,96.724146,96.125528,95.526911,0.399078,0.598617,98.736371,98.753015,98.566556,46.055,0.046559,0.13208,18.3202,1987.0,2322.2,0.0,71.43,STRONG BEAR,1015,99987.65,617.74,4,21,2026-04-10T14:30:00-04:00,96.125528,TP4,2420.24,0.0,2420.24,2.4205,3.9179
BEST,4,4,commodities,CLF,2026-04-23,BUY,BUY,LONG,2026-04-23T11:25:00-04:00,2026-04-23T11:30:00-04:00,93.660004,93.669998,93.107856,95.868594,94.212151,94.764299,95.316446,95.868594,96.420742,0.368098,0.552148,93.504235,93.494517,93.712974,54.6017,0.020919,0.020763,13.2013,1494.0,1892.7,57.14,14.29,STRONG BULL,1067,99945.89,599.81,4,20,2026-04-23T13:05:00-04:00,95.868594,TP4,2345.9,0.0,2345.9,2.3472,3.9111
BEST,5,4,equity,RELIANCE_NS,2026-04-06,SELL,SELL,SHORT,2026-04-06T09:15:00+05:30,2026-04-06T09:20:00+05:30,1338.699951,1339.400024,1346.188166,1308.747091,1331.211736,1323.723521,1316.235306,1308.747091,1301.258875,4.992143,7.488215,1348.556571,1348.740312,1343.366659,36.0523,0.522914,1.573292,17.2707,0.0,543636.35,0.0,71.43,STRONG BEAR,74,99115.6,502.32,4,17,2026-04-06T10:40:00+05:30,1308.747091,TP4,2268.32,0.0,2268.32,2.2886,4.5157
BEST,6,4,commodities,CLF,2026-04-21,BUY,BUY,LONG,2026-04-21T10:10:00-04:00,2026-04-21T10:15:00-04:00,87.760002,87.769997,87.291896,89.632428,88.228109,88.696215,89.164321,89.632428,90.100534,0.312071,0.468106,87.218822,87.186368,87.099956,64.0423,0.001131,-0.061055,23.7291,3613.0,1544.8,85.71,0.0,STRONG BULL,1139,99970.03,544.56,4,15,2026-04-21T11:25:00-04:00,89.632428,TP4,2121.31,0.0,2121.31,2.1219,3.8955
BEST,7,4,commodities,SIF,2026-04-09,BUY,BUY,LONG,2026-04-09T11:10:00-04:00,2026-04-09T11:15:00-04:00,75.0,75.019997,74.597185,76.611258,75.402815,75.805629,76.208444,76.611258,77.014073,0.268543,0.402815,74.858799,74.850934,74.95725,53.6638,0.006552,0.00775,15.7323,264.0,322.1,57.14,14.29,STRONG BULL,1332,99926.64,563.18,4,28,2026-04-09T13:30:00-04:00,76.611258,TP4,2119.56,0.0,2119.56,2.1211,3.7636
BEST,8,4,commodities,NGF,2026-04-14,SELL,SELL,SHORT,2026-04-14T09:45:00-04:00,2026-04-14T09:50:00-04:00,2.621,2.62,2.634082,2.568671,2.607918,2.594836,2.581753,2.568671,2.555589,0.008721,0.013082,2.630774,2.63121,2.637746,41.1941,-0.000502,-0.000128,19.1714,1181.0,1611.6,0.0,71.43,STRONG BEAR,38167,99997.54,537.48,4,29,2026-04-14T12:10:00-04:00,2.568671,TP4,1959.07,0.0,1959.07,1.9591,3.6449
BEST,9,4,equity,INFY_NS,2026-04-07,BUY,BUY,LONG,2026-04-07T09:50:00+05:30,2026-04-07T09:55:00+05:30,1311.199951,1311.300049,1304.73976,1337.040718,1317.660143,1324.120334,1330.580526,1337.040718,1343.500909,4.306794,6.460192,1306.794303,1306.620385,1306.75032,57.1755,-0.154798,-0.656979,24.4981,115233.0,158508.05,71.43,0.0,STRONG BULL,76,99658.8,498.58,4,21,2026-04-07T11:35:00+05:30,1337.040718,TP4,1956.29,0.0,1956.29,1.963,3.9237
BEST,10,4,equity,ICICIBANK_NS,2026-04-06,BUY,BUY,LONG,2026-04-06T10:25:00+05:30,2026-04-06T10:30:00+05:30,1209.5,1209.599976,1203.65315,1232.887402,1215.34685,1221.193701,1227.040551,1232.887402,1238.734252,3.8979,5.84685,1207.747153,1207.551522,1206.410078,54.4844,0.40988,0.486421,19.4885,139086.0,459274.55,57.14,14.29,STRONG BULL,82,99187.2,487.64,4,46,2026-04-06T14:15:00+05:30,1232.887402,TP4,1909.57,0.0,1909.57,1.9252,3.9159
