market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,138,183,42.99,-9570.03,-29.81,1037.66,-999.28,0.8474
derivatives,251,118,133,47.01,476.43,1.9,522.96,-419.5,1.0227
equity,509,230,279,45.19,2552.98,5.02,636.95,-692.99,1.0389
