Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,ATR,Stoch_K,Stoch_D,SMA_20,SMA_50,EMA_12,EMA_26,Price_Change,Price_Change_Pct,Volume_SMA
2026-04-01 15:15:00+05:30,46100.0,46193.8984375,46091.19921875,46160.19921875,0,52.6587467263825,21.192464818617736,39.81626395463808,-18.623799136020345,46361.31738352887,46139.46484375,45917.61230397113,137.55719866071428,59.07791430185784,41.644810632574064,46139.46484375,45999.121953125,46107.42105358056,46086.228588761944,0.001301512813757899,0.1301512813757899,0.0
2026-04-02 09:15:00+05:30,45873.44921875,45873.44921875,45336.1484375,45544.80078125,0,25.92485549132948,-25.258736635907553,26.801263836528953,-52.060000472436506,46452.43122527164,46107.5248046875,45762.618384103356,181.982421875,20.58524290702245,41.92922726247709,46107.5248046875,45988.6809375,46020.86408860663,46046.122825242535,-0.013331797694019265,-1.3331797694019265,0.0
2026-04-02 09:30:00+05:30,45543.8515625,45598.3515625,45455.19921875,45570.3515625,0,27.654988289689626,-59.32604027821071,9.575803013581023,-68.90184329179174,46503.346726503005,46082.9599609375,45662.573195371995,186.76478794642858,23.106034329934253,34.256397179604846,46082.9599609375,45973.53796875,45951.554469205614,46010.880509483824,0.0005610032498049033,0.056100324980490335,0.0
2026-04-02 09:45:00+05:30,45571.3984375,45582.3515625,45456.1484375,45459.3515625,0,23.909167456819077,-94.19556831389491,-11.178471251914162,-83.01709706198075,46556.1452317577,46051.6875,45547.2297682423,189.17940848214286,12.154985702283781,18.61542097974683,46051.6875,45958.341015625,45875.830945097056,45970.02651341095,-0.0024357942432760016,-0.24357942432760016,0.0
2026-04-02 10:00:00+05:30,45456.5,45579.5,45434.80078125,45568.1015625,0,29.16512536790131,-111.76633166590909,-31.296043334713154,-80.47028833119595,46576.591158480805,46027.69765625,45478.80415401919,193.26143973214286,23.596452187182095,19.619157406466712,46027.69765625,45947.67703125,45828.487963159045,45940.254294824954,0.0023922470572526056,0.23922470572526056,0.0
2026-04-02 10:15:00+05:30,45567.75,45654.69921875,45499.3515625,45594.44921875,0,28.90376557459085,-122.157101523866,-49.468254972543726,-72.68884655132229,46584.12760370104,46003.13515625,45422.14270879896,197.986328125,26.27678344354018,20.676073777668684,46003.13515625,45938.87703125,45792.48200248073,45914.63910400459,0.0005782039485200396,0.057820394852003965,0.0
2026-04-02 10:30:00+05:30,45598.6015625,45671.1015625,45586.30078125,45629.94921875,0,31.182670984383833,-126.07400552626495,-64.78940508328797,-61.28460044297698,46581.77102112752,45979.6326171875,45377.494213247475,196.47572544642858,31.493197891325377,27.12214450734922,45979.6326171875,45932.815,45767.476958829844,45893.55096435611,0.0007786035495171983,0.07786035495171983,0.0
2026-04-02 10:45:00+05:30,45629.8515625,45644.30078125,45546.1015625,45636.1484375,0,37.71162238747207,-127.21153958197101,-77.27383198302458,-49.93770759894643,46548.5812701172,45946.780078125,45344.97888613279,177.92550223214286,34.97522588166716,30.915069072177573,45946.780078125,45927.136953125,45747.272570932946,45874.48411051492,0.00013585855027531402,0.013585855027531402,0.0
2026-04-02 11:00:00+05:30,45642.0,45668.80078125,45547.25,45575.05078125,0,32.989394602764705,-131.52695292097633,-88.12445617061493,-43.402496750361394,46516.75318622721,45912.392578125,45308.03197002279,177.64676339285714,27.852211454386477,31.44021174245967,45912.392578125,45922.1859375,45720.77691098172,45852.3038639027,-0.0013387995775689943,-0.13387995775689943,0.0
2026-04-02 11:15:00+05:30,45572.69921875,45630.19921875,45554.6484375,45565.6015625,0,28.858633525808244,-134.16287594531605,-97.33214012555516,-36.83073581976089,46469.18795996494,45875.4626953125,45281.737430660054,173.97879464285714,26.75058292043136,29.859340085494996,45875.4626953125,45917.78796875,45696.903780446075,45831.06665639139,-0.00020733314802767744,-0.020733314802767744,0.0
