Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,ATR,Stoch_K,Stoch_D,SMA_20,SMA_50,EMA_12,EMA_26,Price_Change,Price_Change_Pct,Volume_SMA
2026-04-01 15:15:00+05:30,22671.099609375,22706.30078125,22668.599609375,22703.150390625,0,44.006912130982954,7.4794968751157285,31.24469799311574,-23.76520111800001,22909.787945626613,22766.8802734375,22623.972601248384,67.91796875,30.15420600016807,19.77412999430423,22766.8802734375,22636.709140625,22720.879654318527,22713.40015744341,0.0013894003946455236,0.13894003946455236,0.0
2026-04-02 09:15:00+05:30,22383.400390625,22383.400390625,22209.5,22245.55078125,0,18.72287736788043,-30.992512710843585,18.797255852323875,-49.789768563167456,23010.755138559573,22738.7828125,22466.81048644043,96.71442522321429,5.2365200320012715,18.083499338192606,22738.7828125,22630.00515625,22647.752135384908,22678.74464809575,-0.02015577580651362,-2.015577580651362,0.0
2026-04-02 09:30:00+05:30,22244.44921875,22290.75,22239.44921875,22262.55078125,0,20.655538670590417,-59.42508417892532,3.1527878460740357,-62.57787202499935,23058.02041170738,22713.3728515625,22368.72529141762,97.06808035714286,7.705837962358789,14.365521331509377,22713.3728515625,22622.071171875,22588.49038859492,22647.915472773846,0.000764197756538687,0.0764197756538687,0.0
2026-04-02 09:45:00+05:30,22264.44921875,22273.19921875,22205.849609375,22206.5,0,19.387885260851277,-85.49539384275704,-14.576848491692179,-70.91854535106486,23096.688394912413,22685.5103515625,22274.33230821259,99.03599330357143,0.09397355759055186,4.345443850650204,22685.5103515625,22613.89515625,22529.722636503397,22615.218030346154,-0.002517716042548357,-0.2517716042548357,0.0
2026-04-02 10:00:00+05:30,22206.80078125,22236.650390625,22183.30078125,22234.349609375,0,19.419181106258264,-102.72492238886116,-32.206463271125976,-70.51845911773518,23111.997118393603,22657.7228515625,22203.448584731395,99.4716796875,7.143208526919924,4.981006682289755,22657.7228515625,22606.6471484375,22484.2806323298,22587.00555471866,0.0012541197115709668,0.12541197115709668,0.0
2026-04-02 10:15:00+05:30,22234.5,22234.5,22188.94921875,22217.650390625,0,17.425903447484885,-116.38531778950346,-49.04223417480148,-67.34308361470198,23117.898444917977,22628.6478515625,22139.39725820702,99.81808035714286,4.806504509428806,4.01456219797976,22628.6478515625,22600.30515625,22443.260595144442,22559.645912933946,-0.0007510549687029799,-0.075105496870298,0.0
2026-04-02 10:30:00+05:30,22216.849609375,22236.19921875,22206.80078125,22221.400390625,0,19.13376843619919,-125.4624330716033,-64.32627395416185,-61.13615911744145,23117.140441629334,22600.9228515625,22084.705261495666,94.564453125,6.095461292086555,6.015058109478429,22600.9228515625,22594.4421484375,22409.128255987605,22534.59068905921,0.00016878472449022297,0.016878472449022297,0.0
2026-04-02 10:45:00+05:30,22221.19921875,22249.5,22189.44921875,22243.69921875,0,24.307569917585283,-129.36553786588047,-77.33412673650558,-52.03141112937489,23094.834995301342,22570.1427734375,22045.450551573656,87.52525111607143,10.531549694856146,7.1445051654571685,22570.1427734375,22589.5121484375,22383.677634874126,22513.043172740006,0.0010034843769075596,0.10034843769075596,0.0
2026-04-02 11:00:00+05:30,22242.94921875,22250.19921875,22217.94921875,22227.650390625,0,21.228076803203606,-132.2295232062279,-88.31320603045005,-43.91631717577785,23070.56220191528,22539.88525390625,22009.20830589722,85.02873883928571,7.733148975588492,8.12005332084373,22539.88525390625,22584.494140625,22359.673443451185,22491.902966657413,-0.0007214999612776829,-0.07214999612776829,0.0
2026-04-02 11:15:00+05:30,22225.849609375,22230.80078125,22202.75,22207.599609375,0,15.822609742903097,-134.56598973264408,-97.56376277088887,-37.00222696175521,23039.98537696996,22508.53525390625,21977.085130842544,82.14662388392857,4.236936028770706,7.500544899738448,22508.53525390625,22579.2821484375,22336.277468977925,22470.84345871057,-0.0009020648110632523,-0.09020648110632523,0.0
