Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,ATR,Stoch_K,Stoch_D,SMA_20,SMA_50,EMA_12,EMA_26,Price_Change,Price_Change_Pct,Volume_SMA
2026-04-01 15:15:00+05:30,24235.650390625,24262.30078125,24182.19921875,24218.099609375,0,42.84091940242692,15.736119129596773,54.30212243635283,-38.56600330675606,24541.413944122985,24354.64765625,24167.881368377013,94.98953683035714,21.655680785221463,22.846825187885894,24354.64765625,24159.2969921875,24297.3645912492,24281.628472119603,-0.0007571079909182155,-0.07571079909182155,0.0
2026-04-02 09:15:00+05:30,23913.150390625,23913.150390625,23575.650390625,23696.150390625,0,17.002685002244775,-33.38962649674795,36.76377264973268,-70.15339914648064,24662.014436341393,24317.40263671875,23972.79083709611,132.60016741071428,12.6775381378222,20.218540890110106,24317.40263671875,24152.6530078125,24204.870098845477,24238.259725342225,-0.02155203038920317,-2.155203038920317,0.0
2026-04-02 09:30:00+05:30,23695.599609375,23755.94921875,23677.650390625,23723.400390625,0,19.372393095140282,-69.32416080232724,15.546185959320697,-84.87034676164794,24718.598337324616,24285.00263671875,23851.406936112882,131.939453125,15.54445028932141,16.62588973745503,24285.00263671875,24144.78203125,24130.797836042326,24200.121996844653,0.001149975821000071,0.1149975821000071,0.0
2026-04-02 09:45:00+05:30,23723.5,23723.75,23572.900390625,23576.900390625,0,15.117340975730556,-108.37458898131445,-9.237969028806331,-99.13661995250811,24784.491492176036,24248.1451171875,23711.798742198967,139.40373883928572,0.4196170993968004,9.547201842180142,24248.1451171875,24133.7160546875,24045.58284443966,24153.957433420976,-0.006175337328871877,-0.6175337328871877,0.0
2026-04-02 10:00:00+05:30,23577.05078125,23659.349609375,23564.25,23648.94921875,0,18.739666208142012,-131.9871308781694,-33.78780139867895,-98.19932947949046,24812.704106341207,24214.742578125,23616.78104990879,142.51436941964286,8.805404340772355,8.25649057649686,24214.742578125,24124.5260546875,23984.562286641252,24116.54941751942,0.0030559075591483076,0.30559075591483076,0.0
2026-04-02 10:15:00+05:30,23650.400390625,23650.400390625,23587.19921875,23618.75,0,14.605972078473954,-151.39191328022935,-57.30862377498903,-94.08328950524032,24829.00539070211,24178.442578125,23527.87976554789,141.4287109375,5.665867332124518,4.963629590764563,24178.442578125,24116.9350390625,23928.28347331183,24079.67538659206,-0.0012769793055353862,-0.12769793055353862,0.0
2026-04-02 10:30:00+05:30,23619.849609375,23664.44921875,23617.349609375,23642.0,0,16.54927117504684,-163.0151255521523,-78.44992413042169,-84.56520142173062,24833.589956936645,24144.5525390625,23455.515121188357,139.37151227678572,8.449257336429357,7.640176336442082,24144.5525390625,24110.58703125,23884.239862033086,24047.25498758524,0.0009843874040751377,0.09843874040751377,0.0
2026-04-02 10:45:00+05:30,23642.19921875,23658.349609375,23583.400390625,23629.05078125,0,18.503243366157548,-171.29689477599823,-97.019318259537,-74.27757651646122,24815.824540857207,24104.305078125,23392.78561539279,131.33942522321428,7.567094156473586,7.227406275009158,24104.305078125,24104.61203125,23844.980003451074,24016.27689822707,-0.0005477209521190796,-0.054772095211907956,0.0
2026-04-02 11:00:00+05:30,23629.650390625,23647.75,23597.19921875,23618.099609375,0,15.912143925382523,-176.70695679866185,-112.95684596736197,-63.75011083129988,24792.453706659548,24064.6775390625,23336.901371465454,126.36453683035714,6.3501897847877355,7.455513759230231,24064.6775390625,24098.78203125,23810.07532743937,23986.78228423803,-0.00046346220067761124,-0.046346220067761124,0.0
2026-04-02 11:15:00+05:30,23618.349609375,23625.400390625,23563.900390625,23568.69921875,0,14.805469861959537,-182.87262678879415,-126.94000213164841,-55.93262465714574,24758.403916393243,24021.0724609375,23283.741005481756,126.47879464285714,0.5883437536666722,4.8352092316426685,24021.0724609375,24092.106015625,23772.940541487158,23955.813168275952,-0.002091632749545602,-0.20916327495456022,0.0
