period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,21,0,2,0,127,0,51,76,99,28,0,0,10,9,0,4032.54,212.24,97486.35,5130.86,1097486.34,2021-05-18,1468.28,33116.55,2021-05-21,-967.28,-23801.50,3,3,1447.93,35955.14,3.3937
2021-06,30,0,0,0,314,0,160,154,258,56,0,0,17,13,0,-1384.19,-46.14,-38973.20,-1299.11,1058513.13,2021-06-25,848.78,24754.47,2021-06-11,-1169.77,-31709.27,4,3,3256.73,93686.35,8.5035
2021-07,31,1,0,0,342,0,171,171,275,67,0,0,18,12,0,468.72,15.62,28450.34,948.34,1086963.47,2021-07-21,668.82,22415.85,2021-07-06,-994.02,-29183.94,9,3,2110.79,52164.67,4.5794
2021-08,31,0,2,0,286,0,142,144,233,53,0,0,13,16,0,1347.07,46.45,32421.93,1118.00,1119385.30,2021-08-17,1941.31,41877.16,2021-08-21,-874.91,-17940.38,4,4,1639.21,33378.00,2.8986
2021-09,30,0,2,0,385,0,196,189,329,56,0,0,13,15,0,-5474.85,-195.53,-115919.41,-4139.98,1003465.82,2021-09-28,1533.18,36394.55,2021-09-25,-2356.51,-55572.18,5,3,9389.85,207228.09,18.2869
2021-10,31,0,2,0,401,0,196,205,337,64,0,0,12,17,0,-3669.20,-126.52,-62679.27,-2161.35,940786.55,2021-10-13,1515.94,27031.77,2021-10-30,-2353.85,-38154.42,2,4,5721.81,100569.00,9.8725
2021-11,30,1,1,0,327,1,148,179,269,58,0,0,14,14,0,4063.31,145.12,70313.27,2511.19,1011099.75,2021-11-25,2232.42,39074.84,2021-11-13,-1655.50,-25858.74,2,3,2082.80,32462.85,3.4104
2021-12,31,0,1,0,403,0,203,200,337,66,0,0,16,14,0,325.31,10.84,5120.31,170.68,1016220.04,2021-12-16,1381.09,28475.18,2021-12-14,-1820.18,-38659.20,5,3,2082.26,43920.01,4.2273
2022-01,31,0,1,0,435,0,230,205,369,66,0,0,9,21,0,-4627.10,-154.24,-107671.90,-3589.06,908548.17,2022-01-18,1421.57,33710.35,2022-01-01,-1379.82,-29275.76,2,6,6292.69,144776.34,14.2466
2022-02,28,0,2,0,389,0,194,195,339,50,0,0,8,18,0,-8196.79,-315.26,-192758.53,-7413.79,715789.58,2022-02-04,1185.02,31854.31,2022-02-13,-1579.50,-37301.75,2,9,8339.28,197605.78,21.6342
