sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
fractional_kelly,commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.790351,101.269743,102.831566,2026-03-30T09:45:00-04:00,102.811,TARGET,0.457142,982,100000.0,1.0,531.13,0.0,6000.0,99958.12,0.0,300000.0,per_trade_allocation,kelly_warmup_fixed_percent_risk,1002.28,60.28,942.0,0.9424,1.7736,4,100942.0
fractional_kelly,commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,71.010797,71.379271,70.273848,2026-03-30T09:55:00-04:00,70.287903,TARGET,0.271429,1408,100000.0,1.0,538.91,531.13,6000.0,99983.2,99958.12,300000.0,per_trade_allocation,kelly_warmup_fixed_percent_risk,1017.83,59.68,958.15,0.9583,1.7779,5,101900.15
fractional_kelly,commodities,GCF,2026-03-31,OPEN_EQUALS_LOW,LONG,2026-03-31T09:15:00-04:00,4610.899902,4616.700195,4610.600098,4613.200195,354.0,1.8353,2026-03-31T09:40:00-04:00,4618.0,2026-03-31T09:45:00-04:00,4619.323582,4609.977722,4638.015302,2026-03-31T09:50:00-04:00,4637.087699,TARGET,9.050119,22,101900.15,1.0,225.89,0.0,6114.01,101625.12,0.0,305700.45,per_trade_allocation,kelly_warmup_fixed_percent_risk,390.81,61.09,329.72,0.3244,1.4596,2,102229.87
fractional_kelly,commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.859421,103.190632,102.196999,2026-03-31T10:10:00-04:00,102.217439,TARGET,0.445,993,102229.87,1.0,349.39,0.0,6133.79,102139.41,0.0,306689.61,per_trade_allocation,kelly_warmup_fixed_percent_risk,637.49,61.09,576.4,0.5643,1.6497,5,102806.27
fractional_kelly,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.100802,744.151128,774.000151,2026-04-01T10:20:00+05:30,744.002298,STOP_LOSS,3.953574,101,102806.27,1.0,1019.95,0.0,6168.38,76164.18,0.0,308418.81,risk_budget,kelly_warmup_fixed_percent_risk,-1019.95,45.39,-1065.34,-1.3987,-1.0445,12,101740.93
fractional_kelly,derivatives,CNXAUTO,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,24508.849609,24527.150391,24397.099609,24507.199219,0.0,2.9226,2026-04-01T10:25:00+05:30,24386.0,2026-04-01T10:30:00+05:30,24387.37155,24513.751379,24134.611891,2026-04-01T13:10:00+05:30,24518.65413,STOP_LOSS,73.27832,4,101740.93,1.0,525.13,0.0,6104.46,97549.49,0.0,305222.79,per_trade_allocation,kelly_warmup_fixed_percent_risk,-525.13,58.69,-583.82,-0.5985,-1.1118,33,101157.11
fractional_kelly,derivatives,NSEI,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,22878.900391,22894.699219,22811.400391,22887.0,0.0,2.2409,2026-04-01T10:25:00+05:30,22796.5,2026-04-01T10:30:00+05:30,22792.540189,22883.476171,22610.668227,2026-04-01T13:15:00+05:30,22888.052866,STOP_LOSS,43.349749,4,101740.93,1.0,382.05,525.13,6104.46,91170.16,97549.49,305222.79,per_trade_allocation,kelly_warmup_fixed_percent_risk,-382.05,54.82,-436.87,-0.4792,-1.1435,34,100720.24
fractional_kelly,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.1395,1815.363,1775.6925,2026-04-01T15:20:00+05:30,1783.756704,END_OF_DAY,3.371434,56,101740.93,1.0,760.85,907.18,6104.46,100919.81,188719.65,305222.79,per_trade_allocation,kelly_warmup_fixed_percent_risk,1029.44,60.24,969.19,0.9604,1.2738,59,101689.43
fractional_kelly,equity,RELIANCE_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1376.300049,1377.400024,1365.0,1369.900024,0.0,2.1752,2026-04-01T13:40:00+05:30,1364.900024,2026-04-01T13:45:00+05:30,1364.727,1376.575309,1341.030382,2026-04-01T15:20:00+05:30,1369.573909,END_OF_DAY,2.735718,73,100720.24,1.0,885.02,760.85,6043.21,99625.07,100919.81,302160.72,per_trade_allocation,kelly_warmup_fixed_percent_risk,-353.82,59.88,-413.71,-0.4153,-0.4675,20,101275.72
fractional_kelly,commodities,SIF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,74.995003,75.150002,74.974998,75.110001,206.0,-0.4711,2026-04-01T09:25:00-04:00,75.220001,2026-04-01T09:30:00-04:00,75.220043,74.980004,75.700121,2026-04-01T09:40:00-04:00,74.965008,STOP_LOSS,0.318213,1346,101275.72,1.0,343.28,0.0,6076.54,101246.18,0.0,303827.16,per_trade_allocation,kelly_warmup_fixed_percent_risk,-343.28,60.64,-403.92,-0.399,-1.1767,3,100871.8
