rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
WORST,1,fractional_kelly,equity,INFY_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,1302.599976,1314.0,1302.099976,1313.400024,0.0,2.0447,2026-04-15T09:20:00+05:30,1320.5,2026-04-15T09:25:00+05:30,1320.264,1302.339456,1356.113089,2026-04-15T11:35:00+05:30,1302.078988,STOP_LOSS,5.878584,79,105145.9,2.0,1436.62,0.0,6308.75,104300.86,0.0,315437.7,per_trade_allocation,kelly_fraction=0.1080,-1436.62,62.15,-1498.77,-1.437,-1.0433,27,103647.13
WORST,2,fractional_kelly,commodities,CLF,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00-04:00,81.059998,81.800003,81.059998,81.32,6474.0,-10.3219,2026-04-17T09:25:00-04:00,82.099998,2026-04-17T09:30:00-04:00,82.116418,81.043786,84.261684,2026-04-17T10:15:00-04:00,81.027577,STOP_LOSS,1.082144,1263,103749.35,1.5903,1375.21,544.73,6224.96,103713.04,102528.79,311248.05,per_trade_allocation,kelly_fraction=0.0636,-1375.21,61.82,-1437.02,-1.3856,-1.0449,10,102253.27
WORST,3,fractional_kelly,equity,INFY_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,1329.900024,1329.900024,1316.099976,1321.599976,0.0,-1.2035,2026-04-09T09:40:00+05:30,1315.199951,2026-04-09T09:45:00+05:30,1314.737,1330.166004,1283.878991,2026-04-09T12:55:00+05:30,1330.432038,STOP_LOSS,5.271423,77,101902.16,1.9195,1208.52,2113.73,6114.13,101234.75,203240.41,305706.48,per_trade_allocation,kelly_fraction=0.0768,-1208.52,61.1,-1269.62,-1.2541,-1.0506,39,100632.54
WORST,4,fractional_kelly,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.897614,113.412677,108.867488,2026-04-02T09:40:00-04:00,113.43536,STOP_LOSS,1.07857,673,103580.78,1.0,1034.9,287.52,6214.85,75307.09,101724.14,310742.34,risk_budget,kelly_warmup_fixed_percent_risk,-1034.9,45.49,-1080.4,-1.4347,-1.044,2,102500.38
WORST,5,fractional_kelly,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.2597,1213.442591,1176.893918,2026-04-06T11:45:00+05:30,1213.68528,STOP_LOSS,5.042847,82,102151.91,1.0,1018.9,3026.8,6129.11,98503.3,168933.95,306455.73,risk_budget,kelly_warmup_fixed_percent_risk,-1018.9,59.41,-1078.31,-1.0947,-1.0583,28,101073.6
WORST,6,fractional_kelly,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.100802,744.151128,774.000151,2026-04-01T10:20:00+05:30,744.002298,STOP_LOSS,3.953574,101,102806.27,1.0,1019.95,0.0,6168.38,76164.18,0.0,308418.81,risk_budget,kelly_warmup_fixed_percent_risk,-1019.95,45.39,-1065.34,-1.3987,-1.0445,12,101740.93
WORST,7,fractional_kelly,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.479878,358.0716,335.296433,2026-04-06T13:05:00+05:30,358.143214,STOP_LOSS,1.850002,133,102151.91,1.0,1019.22,998.64,6129.11,46613.82,67751.85,306455.73,risk_budget,kelly_warmup_fixed_percent_risk,-1019.22,28.27,-1047.5,-2.2472,-1.0277,45,99251.04
WORST,8,fractional_kelly,commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.262446,111.307736,114.171866,2026-04-06T10:15:00-04:00,111.285474,STOP_LOSS,0.505715,889,99827.24,1.0,868.53,0.0,5989.63,99801.31,0.0,299481.72,per_trade_allocation,kelly_warmup_fixed_percent_risk,-868.53,59.62,-928.15,-0.93,-1.0686,11,99476.34
WORST,9,fractional_kelly,commodities,SIF,2026-04-17,OPEN_EQUALS_HIGH,SHORT,2026-04-17T09:15:00-04:00,82.150002,82.154999,81.720001,81.830002,1024.0,4.3241,2026-04-17T13:20:00-04:00,81.574997,2026-04-17T13:25:00-04:00,81.588682,82.166432,80.433184,2026-04-17T14:25:00-04:00,82.182865,STOP_LOSS,0.208213,1253,102253.27,1.365,744.51,0.0,6135.2,102230.62,0.0,306759.81,per_trade_allocation,kelly_fraction=0.0546,-744.51,61.56,-806.07,-0.7885,-1.0827,13,101447.2
WORST,10,fractional_kelly,equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8508,760.152,717.2484,2026-04-06T12:25:00+05:30,760.30403,STOP_LOSS,3.832145,52,102151.91,1.0,751.57,4045.7,6129.11,38784.24,267437.25,306455.73,gross_exposure,kelly_warmup_fixed_percent_risk,-751.57,23.5,-775.06,-1.9984,-1.0313,33,100298.54
