market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,10,4,6,40.0,-514.37,-51.44,1852.07,-1099.1,0.8936
commodities,GCF,10,2,8,20.0,-1956.44,-195.64,411.93,-606.41,0.2749
commodities,HGF,5,1,4,20.0,-901.81,-180.36,328.19,-372.98,0.2668
commodities,NGF,10,4,6,40.0,-486.63,-48.66,973.63,-746.43,0.8525
commodities,SIF,15,5,10,33.33,-395.34,-26.36,1035.77,-820.23,0.9138
derivatives,CNXAUTO,4,2,2,50.0,-254.47,-63.62,582.92,-583.82,0.7072
derivatives,CNXFMCG,4,3,1,75.0,1041.1,260.27,723.17,-325.41,4.1993
derivatives,CNXIT,2,2,0,100.0,430.36,215.18,359.26,71.1,inf
derivatives,NSEBANK,2,1,1,50.0,4.44,2.22,257.46,-253.02,1.0175
derivatives,NSEI,3,2,1,66.67,261.45,87.15,432.35,-436.87,1.5985
equity,BHARTIARTL_NS,7,4,3,57.14,2103.19,300.46,1210.5,-394.73,3.367
equity,HDFCBANK_NS,7,2,5,28.57,-2562.83,-366.12,654.58,-1065.34,0.2839
equity,ICICIBANK_NS,4,2,2,50.0,-20.74,-5.18,1171.68,-1078.31,0.986
equity,INFY_NS,8,5,3,62.5,552.11,69.01,1902.62,-1081.39,1.2295
equity,ITC_NS,8,3,5,37.5,-536.57,-67.07,984.71,-635.79,0.7378
equity,KOTAKBANK_NS,6,3,3,50.0,-113.63,-18.94,895.97,-1047.5,0.9361
equity,LT_NS,5,3,2,60.0,580.45,116.09,409.66,-268.64,2.8694
equity,RELIANCE_NS,7,4,3,57.14,799.12,114.16,970.93,-565.68,1.6177
equity,SBIN_NS,2,0,2,0.0,-467.19,-233.6,-146.52,-320.67,0.0
equity,TCS_NS,2,2,0,100.0,2687.76,1343.88,1876.43,811.33,inf
