date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-02-08,TRADED,4,0,1,3,3,1,0,0,1,3,0,-288.63,-72.16,1.24,-178.68,-6562.62,-1640.65,28.13,-4057.36,449205.56,1,3,289.87,6590.74,1.4461,
2022-02-09,TRADED,8,0,5,3,7,1,0,0,1,7,0,-456.98,-57.12,264.36,-206.29,-10400.97,-1300.12,6041.99,-4698.09,438804.61,1,6,515.05,11744.86,2.6146,
2022-02-10,TRADED,5,0,3,2,4,1,0,0,1,4,0,-434.94,-86.99,136.40,-210.75,-9859.20,-1971.84,3090.57,-4806.88,428945.42,1,2,434.94,9859.19,2.2468,
2022-02-11,TRADED,5,0,0,5,4,1,0,0,1,4,0,-20.11,-4.02,237.37,-201.35,-440.68,-88.14,5463.00,-4617.48,428504.74,1,4,257.48,5903.67,1.3763,
2022-02-12,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,428504.74,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2022-02-13,TRADED,14,0,7,7,13,1,0,0,1,13,0,-995.78,-71.13,185.00,-154.90,-23502.63,-1678.76,4370.19,-3670.51,405002.11,1,11,995.78,23502.63,5.4848,
2022-02-14,TRADED,12,0,5,7,10,2,0,0,2,10,0,-193.61,-16.13,410.77,-172.56,-4591.42,-382.62,9749.02,-4104.23,400410.70,1,9,650.53,15435.45,3.7289,
2022-02-15,TRADED,1,0,1,0,0,1,0,0,1,0,0,402.63,402.63,402.63,402.63,9152.36,9152.36,9152.36,9152.36,409563.06,1,0,0.00,0.00,0.0000,
2022-02-16,TRADED,13,0,5,8,12,1,0,0,1,12,0,-681.54,-52.43,109.72,-131.94,-15463.15,-1189.47,2493.00,-3007.14,394099.90,1,10,717.83,16290.46,3.9695,
2022-02-17,TRADED,6,0,4,2,6,0,0,0,0,6,0,-365.88,-60.98,-18.74,-112.50,-8317.95,-1386.32,-425.54,-2551.48,385781.95,0,6,365.88,8317.95,2.1106,
