period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021,233,5,19,0,1119,1,560,559,878,241,0,0,79,130,0,-24385.36,-116.68,-511323.42,-2446.52,488676.68,2021-10-13,1416.48,25205.04,2021-11-03,-1844.35,-29235.69,8,12,25242.39,527419.65,52.3741
2022,365,5,21,0,2172,0,1126,1046,1700,472,0,0,156,183,0,-18429.04,-54.36,-534136.03,-1575.62,-45459.56,2022-01-17,965.59,22590.35,2022-02-06,-1462.90,-35154.86,10,9,18641.51,550834.09,111.8450
2023,365,6,13,0,2388,2,1196,1192,1817,569,2,0,155,191,0,-8700.59,-25.15,-249516.05,-721.14,-294975.82,2023-03-15,758.70,30473.90,2023-01-27,-534.34,-23217.99,11,6,13363.16,423592.09,383.7651
2024,366,5,19,1,2126,3,1070,1056,1611,514,1,0,158,183,0,-26321.98,-77.19,-400238.77,-1173.72,-695214.51,2024-08-26,1388.19,21803.20,2024-01-25,-1110.00,-27789.23,5,8,29370.26,431188.55,0.0000
2025,365,5,10,0,2186,1,1159,1027,1657,528,1,0,147,203,0,-36229.33,-103.51,-359472.63,-1027.06,-1054687.05,2025-03-31,1938.44,23516.47,2025-11-22,-2645.04,-31383.81,4,8,39056.13,391410.64,0.0000
2026,130,0,4,0,715,1,361,354,532,182,0,1,65,61,0,749.93,5.95,5279.66,41.90,-1049407.40,2026-01-25,1873.45,21063.60,2026-01-23,-1701.88,-19049.14,7,5,7733.53,107699.03,0.0000
