market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,110,211,34.27,-7353.8,-22.91,2049.44,-999.28,0.8985
derivatives,251,91,160,36.25,4370.67,17.41,1046.66,-419.5,1.1819
equity,509,168,341,33.01,8733.7,17.16,1236.64,-692.99,1.1158
