target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1081,29.69,-5857456.21,-4857456.21,-5418.55,-5859204.39,-585.9204,0.0992,-0.903
2,1081,21.37,-5751209.21,-4751209.21,-5320.27,-5773998.85,-577.3999,0.1462,-1.216
3,1081,19.89,-5585258.07,-4585258.07,-5166.75,-5615894.84,-561.5895,0.175,0.5872
4,1081,19.7,-5520475.65,-4520475.65,-5106.82,-5564463.91,-556.4464,0.1863,2.2351
5,1081,19.89,-5440436.83,-4440436.83,-5032.78,-5493958.29,-549.3958,0.2008,3.5829
