date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,13,0,13,-75026.55,139538.17,-214564.72,-21.4565,785435.28,-214564.72,-21.4565
2026-03-31,13,0,13,-69657.38,94384.95,-164042.33,-20.8855,621392.95,-378607.05,-37.8607
2026-04-01,54,20,34,-67280.44,152953.85,-220234.29,-35.442,401158.66,-598841.34,-59.8841
2026-04-02,36,14,22,-70205.3,159517.75,-229723.05,-57.2649,171435.61,-828564.39,-82.8564
2026-04-06,56,13,43,-211110.96,269535.51,-480646.47,-280.3656,-309210.86,-1309210.86,-130.9211
2026-04-07,76,22,54,-113515.94,194859.6,-308375.54,99.7299,-617586.4,-1617586.4,-161.7586
2026-04-08,48,10,38,-99823.48,220423.95,-320247.43,51.8547,-937833.83,-1937833.83,-193.7834
2026-04-09,56,20,36,-63826.5,148227.0,-212053.5,22.611,-1149887.33,-2149887.33,-214.9887
2026-04-10,73,23,50,-118041.94,254762.63,-372804.57,32.421,-1522691.9,-2522691.9,-252.2692
2026-04-13,54,14,40,-79135.64,152711.88,-231847.52,15.2262,-1754539.42,-2754539.42,-275.4539
2026-04-14,9,0,9,-84497.73,48279.49,-132777.22,7.5676,-1887316.64,-2887316.64,-288.7317
2026-04-15,70,16,54,-164429.6,208435.81,-372865.41,19.7564,-2260182.05,-3260182.05,-326.0182
2026-04-16,66,28,38,-74814.39,238615.01,-313429.4,13.8674,-2573611.45,-3573611.45,-357.3611
2026-04-17,69,17,52,-113739.0,109446.28,-223185.28,8.6721,-2796796.73,-3796796.73,-379.6797
2026-04-20,25,2,23,-138576.95,134922.25,-273499.2,9.779,-3070295.93,-4070295.93,-407.0296
2026-04-21,49,17,32,-77614.83,109928.96,-187543.79,6.1083,-3257839.72,-4257839.72,-425.784
2026-04-22,63,24,39,-68266.53,325561.95,-393828.48,12.0886,-3651668.2,-4651668.2,-465.1668
2026-04-23,66,18,48,-123018.2,270046.51,-393064.71,10.764,-4044732.91,-5044732.91,-504.4733
2026-04-24,52,19,33,-100340.98,173323.1,-273664.08,6.7659,-4318396.99,-5318396.99,-531.8397
2026-04-27,59,16,43,-104787.45,149458.26,-254245.71,5.8875,-4572642.7,-5572642.7,-557.2643
2026-04-28,54,18,36,-92792.94,193768.75,-286561.69,6.2669,-4859204.39,-5859204.39,-585.9204
2026-04-29,20,10,10,10983.37,9235.19,1748.18,-0.036,-4857456.21,-5857456.21,-585.7456
