market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,3,67,4.29,-1333195.21,-19045.65,11177.94,-27269.55,0.0118
commodities,GCF,59,0,59,0.0,-1004809.75,-17030.67,-454.34,-20710.65,0.0
commodities,HGF,53,0,53,0.0,-646853.17,-12204.78,-11049.87,-12640.22,0.0
commodities,NGF,71,0,71,0.0,-776241.3,-10932.98,-9575.12,-11289.09,0.0
commodities,SIF,68,1,67,1.47,-1467314.91,-21578.16,4251.32,-27344.78,0.0029
derivatives,CNXAUTO,43,13,30,30.23,-23240.35,-540.47,10892.82,-6160.04,0.7063
derivatives,CNXFMCG,56,11,45,19.64,-47487.75,-848.0,10200.31,-5165.53,0.5302
derivatives,CNXIT,53,17,36,32.08,-106.92,-2.02,15045.26,-4952.7,0.999
derivatives,NSEBANK,50,12,38,24.0,-30747.42,-614.95,9374.99,-5647.73,0.6471
derivatives,NSEI,49,13,36,26.53,-33327.13,-680.15,10468.66,-4915.1,0.5892
equity,BHARTIARTL_NS,56,18,38,32.14,-16124.07,-287.93,14872.12,-5780.36,0.8481
equity,HDFCBANK_NS,45,11,34,24.44,-36919.82,-820.44,12260.61,-6126.55,0.6621
equity,ICICIBANK_NS,51,14,37,27.45,8104.16,158.91,18497.81,-5715.12,1.0823
equity,INFY_NS,53,14,39,26.42,-30722.68,-579.67,18902.25,-6525.9,0.7708
equity,ITC_NS,57,10,47,17.54,-107263.02,-1881.81,9979.84,-5971.21,0.274
equity,KOTAKBANK_NS,41,14,27,34.15,-386.09,-9.42,14716.55,-8485.51,0.9961
equity,LT_NS,58,15,43,25.86,-24313.15,-419.19,17988.35,-7187.94,0.7861
equity,RELIANCE_NS,55,14,41,25.45,-26834.29,-487.9,22173.5,-6212.32,0.7413
equity,SBIN_NS,49,18,31,36.73,35544.22,725.39,17341.77,-6565.84,1.3897
equity,TCS_NS,44,15,29,34.09,41763.0,949.16,15695.18,-5350.38,1.5058
