timeframe,ma_period,target_risk_reward,target_label,input_file,tested_start_date,tested_end_date,first_csv_timestamp,first_ma_usable_timestamp,activation_timestamp,gap_events,missing_candles_total,total_trades,long_trades,short_trades,target_exits,stop_exits,gap_exits,winning_trades,losing_trades,win_rate_pct,total_points,average_points,max_drawdown_points,starting_capital,fixed_trade_notional_usd,gross_pnl_usd,average_pnl_usd,ending_equity,total_return_pct,max_drawdown_usd,max_drawdown_pct
15m,96,3,3R,btc/data/BTCUSD_data_15m.csv,2021-05-11,2026-05-10,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2021-05-11 19:00:00+00:00,8,79,22849,11661,11188,4577,18267,4,4745,18104,20.7668,-40812.00,-1.79,71491.50,1000000.00,1000000.00,-844079.71,-36.94,155920.29,-84.4080,1253636.61,110.2491
15m,96,4,4R,btc/data/BTCUSD_data_15m.csv,2021-05-11,2026-05-10,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2021-05-11 19:00:00+00:00,8,79,22059,11256,10803,3643,18411,4,3901,18158,17.6844,-4334.40,-0.20,39789.74,1000000.00,1000000.00,-313911.69,-14.23,686088.31,-31.3912,924674.22,80.3004
15m,96,5,5R,btc/data/BTCUSD_data_15m.csv,2021-05-11,2026-05-10,2021-05-11 19:00:00+00:00,2021-05-12 18:45:00+00:00,2021-05-11 19:00:00+00:00,8,79,21586,11040,10546,3064,18516,5,3413,18173,15.8112,23948.72,1.11,25648.91,1000000.00,1000000.00,302452.39,14.01,1302452.39,30.2452,531620.26,46.6640
30m,48,3,3R,btc/data/BTCUSD_data_30m.csv,2021-05-12,2026-05-10,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2021-05-12 07:30:00+00:00,8,45,15553,7912,7641,3022,12526,4,3149,12403,20.2469,-65532.50,-4.21,74441.91,1000000.00,1000000.00,-1147673.37,-73.79,-147673.37,-114.7673,1226357.99,120.3965
30m,48,4,4R,btc/data/BTCUSD_data_30m.csv,2021-05-12,2026-05-10,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2021-05-12 07:30:00+00:00,8,45,15104,7701,7403,2444,12655,4,2655,12448,17.5781,-7901.03,-0.52,32612.19,1000000.00,1000000.00,-141248.32,-9.35,858751.68,-14.1248,591083.43,50.8298
30m,48,5,5R,btc/data/BTCUSD_data_30m.csv,2021-05-12,2026-05-10,2021-05-12 07:30:00+00:00,2021-05-13 07:00:00+00:00,2021-05-12 07:30:00+00:00,8,45,14777,7526,7251,2021,12750,5,2327,12449,15.7474,3249.28,0.22,38390.02,1000000.00,1000000.00,70338.80,4.76,1070338.80,7.0339,492689.31,44.0782
1h,24,3,3R,btc/data/BTCUSD_data_1h.csv,2021-05-13,2026-05-10,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2021-05-13 08:00:00+00:00,8,26,10318,5282,5036,1925,8388,4,2029,8287,19.6647,-52896.34,-5.13,68533.53,1000000.00,1000000.00,-866115.11,-83.94,133884.89,-86.6115,1086468.23,101.8466
1h,24,4,4R,btc/data/BTCUSD_data_1h.csv,2021-05-13,2026-05-10,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2021-05-13 08:00:00+00:00,8,26,10067,5155,4912,1540,8521,5,1739,8327,17.2743,-27395.78,-2.72,50576.69,1000000.00,1000000.00,-293329.96,-29.14,706670.04,-29.3330,646187.45,55.4646
1h,24,5,5R,btc/data/BTCUSD_data_1h.csv,2021-05-13,2026-05-10,2021-05-13 08:00:00+00:00,2021-05-14 07:00:00+00:00,2021-05-13 08:00:00+00:00,8,26,9865,5046,4819,1246,8613,5,1541,8323,15.6209,-21818.33,-2.21,49260.52,1000000.00,1000000.00,-209733.58,-21.26,790266.42,-20.9734,664391.80,54.4215
