period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,21,0,2,0,133,0,51,82,96,37,0,0,10,9,0,1252.44,65.92,30724.39,1617.07,1030724.34,2021-05-28,629.73,16291.16,2021-05-21,-422.37,-10440.36,4,3,1011.03,25375.44,2.4994
2021-06,30,0,0,0,330,0,169,161,246,84,0,0,13,17,0,-3627.65,-120.92,-104044.81,-3468.16,926679.51,2021-06-30,599.81,17018.79,2021-06-12,-674.91,-18576.79,3,4,4256.60,121846.99,11.8215
2021-07,31,0,0,0,375,0,186,189,269,106,0,0,15,16,0,178.31,5.75,16931.18,546.17,943610.58,2021-07-21,425.78,14304.08,2021-07-31,-734.91,-17780.73,6,5,1962.13,50585.84,5.0881
2021-08,31,0,2,0,317,0,157,160,223,94,0,0,13,16,0,2239.97,77.24,54859.96,1891.72,998470.40,2021-08-31,1374.88,28902.01,2021-08-10,-1050.26,-23063.03,3,5,2714.74,59630.26,5.9716
2021-09,30,0,2,0,416,0,209,207,313,103,0,0,12,16,0,-5623.19,-200.83,-121458.86,-4337.82,877011.46,2021-09-28,766.59,18197.28,2021-09-25,-2120.59,-49750.03,3,5,6577.86,144126.73,14.4134
2021-10,31,0,2,0,429,0,208,221,325,104,0,0,15,14,0,-5149.03,-177.55,-89282.08,-3078.69,787729.33,2021-10-13,1263.88,22489.60,2021-10-30,-1927.59,-31242.90,3,3,6541.11,115578.92,12.9934
2021-11,30,1,1,0,367,1,161,206,264,103,0,0,13,15,0,1776.07,63.43,29338.39,1047.80,817067.70,2021-11-07,1709.38,27758.64,2021-11-13,-1356.88,-21188.74,3,3,2255.35,36217.57,4.5977
2021-12,31,0,1,0,441,0,217,224,316,125,0,0,15,15,0,2884.36,96.15,56504.11,1883.47,873571.82,2021-12-06,1325.78,27251.47,2021-12-19,-1321.78,-28150.42,4,3,1928.19,41049.20,4.6110
2022-01,31,0,1,0,469,0,244,225,356,113,0,0,13,17,0,-3445.08,-114.84,-77780.12,-2592.67,795791.74,2022-01-17,1163.64,27176.26,2022-01-10,-1035.30,-24645.81,3,4,5584.91,128912.77,14.7570
2022-02,28,0,2,0,409,0,202,207,329,80,0,0,8,18,0,-8688.09,-334.16,-203698.80,-7834.57,592092.93,2022-02-25,731.26,18827.04,2022-02-06,-1613.53,-38833.22,2,10,9704.68,230813.85,28.0486
2022-03,31,0,2,0,520,0,274,246,409,111,0,0,10,19,0,-5892.51,-203.19,-142141.76,-4901.44,449951.23,2022-03-19,1005.30,24006.87,2022-03-12,-1450.48,-37093.21,2,3,5892.51,142141.70,24.0067
