period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021,235,1,10,0,2808,1,1358,1450,2052,756,0,0,106,118,0,-6068.72,-27.09,-126427.72,-564.41,873571.82,2021-08-31,1374.88,28902.01,2021-09-25,-2120.59,-49750.03,6,5,14645.42,290744.01,27.8956
2022,365,2,18,0,5067,0,2600,2467,3904,1163,0,0,157,188,0,-29438.14,-85.33,-823242.52,-2386.21,50329.22,2022-05-15,957.64,32261.10,2022-05-26,-1449.16,-49012.08,8,10,29747.71,841899.51,96.3744
2023,365,1,11,0,5115,2,2613,2502,3775,1338,2,0,171,182,0,-5498.77,-15.58,-188519.06,-534.05,-138189.61,2023-02-21,1130.34,45638.85,2023-11-01,-1063.25,-30847.66,6,8,9478.36,323898.21,218.2138
2024,366,5,11,1,4791,3,2438,2353,3567,1223,1,0,159,190,0,-35213.23,-100.90,-461728.58,-1323.00,-599918.44,2024-05-09,1780.28,28815.10,2024-12-07,-3146.08,-31556.78,6,8,36998.25,479867.64,0.0000
2025,365,4,4,0,4808,1,2500,2308,3522,1285,1,0,168,189,0,-18230.06,-51.06,-195939.54,-548.85,-795858.23,2025-12-29,2607.14,29633.21,2025-11-22,-3604.45,-42731.48,10,8,28452.41,303320.61,0.0000
2026,130,0,3,0,1558,1,801,757,1147,410,0,1,66,61,0,3673.96,28.93,38474.63,302.95,-757383.70,2026-03-11,1925.84,27440.50,2026-03-17,-2809.45,-37834.94,8,6,7381.01,103748.95,0.0000
