target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1084,54.43,4786.94,104786.94,4.42,-10849.11,-9.5895,1.0332,1.4218
2,1084,51.2,6253.43,106253.43,5.77,-12717.86,-11.2006,1.0404,1.6027
3,1084,51.01,9016.47,109016.47,8.32,-12588.77,-10.8081,1.0581,2.113
4,1084,50.92,9795.66,109795.66,9.04,-12305.51,-10.5255,1.0632,2.2392
5,1084,51.01,9628.86,109628.86,8.88,-12039.6,-10.3363,1.0622,2.2329
