period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,max_profit_date,max_profit_points,max_loss_date,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points
2025,235,18,1,0,1194,1,638,556,1193,1,0,84,132,0,2858.36,13.23,2025-10-12,7925.68,2025-11-22,-3602.18,3,7,16541.13
2026,129,14,0,0,631,1,310,321,629,1,1,51,64,0,23430.86,203.75,2026-02-06,9915.87,2026-03-31,-2429.76,5,5,8007.80
