date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2026-04-28,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-04-29,TRADED,5,0,4,1,5,0,0,2,3,0,1323.91,264.78,1296.68,-90.14,1,2,107.98,
2026-04-30,TRADED,3,0,0,3,3,0,0,1,2,0,293.47,97.82,379.34,-48.53,1,2,85.87,
2026-05-01,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-05-02,TRADED,2,0,1,1,2,0,0,1,1,0,2064.85,1032.43,2216.32,-151.47,1,1,151.47,
2026-05-03,TRADED,5,0,2,3,5,0,0,1,4,0,-258.30,-51.66,29.71,-131.32,1,4,288.01,
2026-05-04,TRADED,5,0,3,2,5,0,0,0,5,0,-984.89,-196.98,-5.32,-582.48,0,5,984.89,
2026-05-05,TRADED,1,0,1,0,1,0,0,1,0,0,728.38,728.38,728.38,728.38,1,0,0.00,
2026-05-06,TRADED,12,0,7,5,12,0,0,1,11,0,-1276.66,-106.39,77.62,-300.13,1,6,1276.66,
2026-05-07,TRADED,2,0,0,2,2,0,0,1,1,0,11.01,5.50,20.70,-9.69,1,1,9.69,
2026-05-08,MIXED,7,1,1,6,6,1,0,1,6,0,210.72,30.10,1392.33,-509.81,1,6,1181.61,Missing 7 candle(s) between 2026-05-08 00:00:00+00:00 and 2026-05-08 08:00:00+00:00; resumed on next available row.
2026-05-09,TRADED,4,0,4,0,3,0,1,1,3,0,311.81,77.95,374.46,-30.64,1,3,62.65,
