event_id,report_date,gap_start_timestamp,gap_resume_timestamp,missing_candles,had_active_trade,forced_exit_trade_id,pre_gap_close_points,pre_gap_ma,remarks
G0001,2025-10-25,2025-10-25 14:00:00+00:00,2025-10-25 21:00:00+00:00,6,YES,T00855,111605.64,111136.76,Missing 6 candle(s) between 2025-10-25 14:00:00+00:00 and 2025-10-25 21:00:00+00:00; resumed on next available row.
G0002,2026-05-08,2026-05-08 00:00:00+00:00,2026-05-08 08:00:00+00:00,7,YES,T01815,79827.67,80551.17,Missing 7 candle(s) between 2026-05-08 00:00:00+00:00 and 2026-05-08 08:00:00+00:00; resumed on next available row.
