period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,21,0,2,0,131,0,51,80,97,34,0,0,10,9,0,3987.49,209.87,98263.05,5171.74,1098263.05,2021-05-27,989.18,25528.43,2021-05-19,-371.38,-9423.40,4,3,783.88,19739.21,1.9035
2021-06,30,0,0,0,322,0,164,158,253,69,0,0,14,16,0,-1862.17,-62.07,-51675.19,-1722.51,1046587.85,2021-06-25,789.07,23011.95,2021-06-11,-764.24,-20799.47,4,4,3267.41,93256.80,8.4913
2021-07,31,1,0,0,358,0,178,180,277,81,0,0,15,15,0,54.61,1.82,18235.00,607.83,1064822.83,2021-07-23,761.97,23530.93,2021-07-06,-774.04,-22725.74,3,4,2286.12,56825.93,5.0663
2021-08,31,0,2,0,296,0,147,149,228,68,0,0,13,16,0,2059.41,71.01,50231.63,1732.13,1115054.38,2021-08-07,1338.84,30925.75,2021-08-11,-734.81,-16078.38,4,9,2261.55,49637.01,4.4291
2021-09,30,0,2,0,392,0,199,193,322,70,0,0,11,17,0,-6433.60,-229.77,-137631.60,-4915.41,977422.70,2021-09-28,1149.89,27295.91,2021-09-25,-1879.58,-44211.89,3,5,8859.70,194212.72,17.2617
2021-10,31,0,2,0,411,0,199,212,336,75,0,0,13,16,0,-5635.51,-194.33,-96622.15,-3331.80,880800.56,2021-10-31,1445.67,23524.33,2021-10-30,-2004.18,-32475.57,2,4,7546.41,130827.05,13.2402
2021-11,30,1,1,0,343,1,153,190,269,74,0,0,15,13,0,3358.45,119.94,55208.45,1971.73,936008.96,2021-11-25,1674.31,29306.12,2021-11-13,-1418.40,-22161.00,2,2,1418.40,23128.65,2.4879
2021-12,31,0,1,0,417,0,209,208,328,89,0,0,20,10,0,1376.07,45.87,22206.78,740.23,958215.76,2021-12-29,1552.83,32588.40,2021-12-19,-1707.53,-36296.76,6,2,2530.55,54147.38,5.5931
2022-01,31,0,1,0,446,0,236,210,361,85,0,0,14,16,0,-2617.39,-87.25,-58231.99,-1941.07,899983.82,2022-01-18,1473.96,34928.81,2022-01-06,-996.46,-23046.05,3,5,5002.68,114501.06,11.9230
2022-02,28,0,2,0,397,0,197,200,337,60,0,0,9,17,0,-8036.08,-309.08,-185673.26,-7141.28,714310.51,2022-02-04,888.76,23890.74,2022-02-13,-1602.37,-37845.44,2,9,9625.40,228253.54,24.2162
2022-03,31,0,2,0,497,0,259,238,417,80,0,0,11,18,0,-5298.61,-182.71,-127985.36,-4413.29,586325.19,2022-03-03,874.89,19946.32,2022-03-17,-1422.79,-34845.89,2,4,5298.61,127985.32,17.9173
2022-04,30,0,4,0,323,0,178,145,272,51,0,0,9,17,0,-3395.47,-130.60,-81787.17,-3145.66,504538.11,2022-04-30,904.28,23480.86,2022-04-07,-1583.03,-36373.97,4,7,6717.80,163828.92,27.0972
2022-05,31,0,2,0,388,0,208,180,323,65,0,0,10,19,0,-2406.64,-82.99,-78359.91,-2702.07,426178.22,2022-05-15,1047.92,35272.58,2022-05-26,-1343.45,-45437.78,4,5,2640.82,88587.51,17.2093
2022-06,30,0,1,0,266,0,134,132,211,55,0,0,15,14,0,-660.85,-22.79,-23654.34,-815.67,402523.84,2022-06-21,397.00,19293.55,2022-06-24,-382.48,-18297.63,3,2,1220.40,40047.18,9.3968
2022-07,31,0,1,0,332,0,183,149,264,68,0,0,15,15,0,-177.17,-5.91,-5944.15,-198.14,396579.62,2022-07-13,700.38,35698.04,2022-07-01,-724.35,-37430.85,4,3,1464.60,66009.57,15.8168
2022-08,31,1,1,0,420,0,211,209,343,77,0,0,11,18,0,-1381.60,-47.64,-69562.08,-2398.69,327017.59,2022-08-15,676.81,27788.81,2022-08-02,-791.93,-34346.70,3,4,1760.78,83861.44,20.4103
2022-09,30,0,0,0,390,0,213,177,318,72,0,0,13,17,0,-447.85,-14.93,-22618.88,-753.96,304398.65,2022-09-01,453.40,22578.34,2022-09-15,-580.95,-28795.10,2,3,1443.28,73283.12,20.2976
2022-10,31,1,2,0,415,0,187,228,342,73,0,0,16,12,0,409.08,14.61,20322.53,725.80,324721.18,2022-10-10,453.75,23445.31,2022-10-12,-454.04,-23788.94,4,3,885.97,45664.02,14.4026
2022-11,30,0,1,0,416,0,208,208,339,77,0,0,14,15,0,-269.53,-9.29,-10778.94,-371.69,313942.25,2022-11-15,405.08,24427.36,2022-11-14,-357.02,-21670.88,4,3,878.35,42988.94,13.2387
2022-12,31,0,0,0,520,0,255,265,438,82,0,0,12,19,0,-837.83,-27.03,-50048.97,-1614.48,263893.12,2022-12-01,302.50,17750.68,2022-12-21,-274.02,-16281.43,2,7,1289.69,76514.34,22.6153
2023-01,31,0,2,0,406,0,223,183,327,79,0,0,11,18,0,-502.99,-17.34,-22221.37,-766.25,241671.77,2023-01-29,487.02,21053.07,2023-01-26,-423.43,-18388.66,3,4,1173.96,51576.52,19.1771
2023-02,28,0,0,0,287,0,137,150,221,66,0,0,15,13,0,3047.23,108.83,126863.16,4530.83,368534.83,2023-02-21,1461.05,59018.02,2023-02-01,-447.07,-19402.42,8,4,783.25,33742.01,13.9619
2023-03,31,0,3,0,403,1,195,208,342,60,1,0,14,14,0,-1572.38,-56.16,-59596.34,-2128.44,308938.45,2023-03-08,412.37,18628.50,2023-03-18,-691.42,-25267.71,4,4,1899.85,71820.38,19.2822
2023-04,30,0,1,0,394,0,203,191,315,79,0,0,13,16,0,162.45,5.60,5413.95,186.69,314352.45,2023-04-20,414.77,14353.66,2023-04-30,-525.82,-17927.52,5,7,1466.52,51257.71,14.0198
2023-05,31,0,0,0,339,1,175,164,274,64,1,0,16,15,0,-869.56,-28.05,-30651.31,-988.75,283701.13,2023-05-11,611.29,22161.83,2023-05-09,-513.95,-18567.88,4,3,1717.98,60785.35,18.7753
2023-06,30,0,1,0,424,0,228,196,345,79,0,0,9,20,0,-1798.88,-62.03,-67219.71,-2317.92,216481.50,2023-06-02,474.21,17598.01,2023-06-25,-596.50,-19459.82,5,8,3383.38,120812.36,40.6311
2023-07,31,0,0,0,463,0,249,214,370,93,0,0,13,18,0,-0.36,-0.01,-1110.76,-35.83,215370.74,2023-07-18,581.22,19359.93,2023-07-26,-397.86,-13595.52,4,3,1060.39,35844.11,14.2683
2023-08,31,0,2,0,396,0,202,194,314,82,0,0,13,16,0,485.38,16.74,16828.26,580.28,232199.12,2023-08-31,577.21,21240.40,2023-08-06,-279.91,-9623.84,4,7,869.27,31216.86,13.1326
2023-09,30,1,0,0,509,0,245,264,395,114,0,0,10,19,0,-1323.05,-45.62,-50343.18,-1735.97,181855.95,2023-09-14,574.18,21919.32,2023-09-06,-499.77,-19432.25,3,5,1637.93,62229.54,26.8001
2023-10,31,1,1,0,411,0,216,195,318,93,0,0,18,11,0,1251.88,43.17,45543.69,1570.47,227399.65,2023-10-11,799.79,29294.77,2023-10-13,-545.64,-20351.28,4,2,677.50,24750.31,11.0071
2023-11,30,0,0,0,454,0,235,219,358,96,0,0,14,16,0,-1070.96,-35.70,-31616.46,-1053.88,195783.20,2023-11-04,601.75,17305.27,2023-11-01,-1000.10,-29026.22,2,3,2073.74,58301.80,25.6385
2023-12,31,0,1,0,345,0,177,168,261,84,0,0,17,13,0,483.34,16.11,15232.34,507.74,211015.55,2023-12-13,728.40,17597.43,2023-12-10,-843.16,-19218.89,5,4,1808.38,42691.10,17.6060
2024-01,31,0,0,0,480,0,257,223,392,88,0,0,14,17,0,-2662.56,-85.89,-61476.67,-1983.12,149538.92,2024-01-12,1215.65,26249.20,2024-01-25,-966.75,-24226.03,3,3,3052.62,70557.96,32.0577
2024-02,29,0,2,1,358,1,172,186,284,74,0,0,16,10,0,-524.00,-20.15,-22044.21,-847.85,127494.55,2024-02-28,1215.44,21316.80,2024-02-07,-1023.88,-23789.29,6,3,3200.00,70035.09,46.8340
2024-03,31,0,2,0,346,0,181,165,277,69,0,0,16,13,0,102.57,3.54,-2104.27,-72.56,125390.25,2024-03-15,2079.88,29675.70,2024-03-20,-1573.99,-24946.46,3,4,2586.05,38972.59,30.3086
