period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,reverse_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021,235,14,1,0,528,1,264,264,527,1,0,99,121,0,-4420.68,-20.09,-8531.23,-38.78,91468.77,2021-12-04,7424.11,13391.39,2021-05-21,-8643.23,-21118.67,6,6,19653.21,43976.72,39.0197
2022,365,27,0,0,848,0,424,424,848,0,0,145,193,0,14748.49,43.63,30139.13,89.17,121607.93,2022-11-10,3845.66,18803.41,2022-05-11,-4236.45,-13614.61,5,9,12109.02,57916.15,38.2893
2023,365,17,0,0,891,2,445,446,889,2,0,149,199,0,7311.20,21.01,28959.05,83.22,150566.88,2023-06-22,3298.64,12091.56,2023-08-29,-1754.34,-6751.00,12,7,7814.56,24897.36,15.9155
2024,366,20,0,0,825,3,413,412,822,3,0,159,187,0,33643.18,97.23,58798.10,169.94,209364.88,2024-11-12,8345.62,11174.93,2024-04-19,-5233.19,-8496.71,7,10,10917.17,16427.70,10.0451
2025,365,19,0,0,802,1,401,401,801,1,0,164,182,0,-16775.62,-48.48,-13522.24,-39.08,195842.71,2025-11-21,7479.76,8176.92,2025-01-20,-12062.89,-11589.53,6,10,36813.18,36466.46,16.1207
2026,130,9,0,0,289,1,144,145,287,1,1,52,69,0,-5597.82,-46.26,-9243.35,-76.39,186599.36,2026-02-06,10142.75,13363.51,2026-03-31,-4954.19,-7403.24,5,9,24333.81,35887.75,17.0463
