target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,13,53.85,-17629.43,982370.57,-1356.11,-24604.77,-2.4434,0.5176,-4.9103
2,13,53.85,-21097.06,978902.94,-1622.85,-24604.77,-2.4519,0.4227,-6.2878
3,13,53.85,-21097.06,978902.94,-1622.85,-24604.77,-2.4519,0.4227,-6.2878
4,13,53.85,-21097.06,978902.94,-1622.85,-24604.77,-2.4519,0.4227,-6.2878
5,13,53.85,-21097.06,978902.94,-1622.85,-24604.77,-2.4519,0.4227,-6.2878
