market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,35,35,50.0,-8476.01,-121.09,903.54,-1060.2,0.65
commodities,GCF,59,24,35,40.68,-6873.21,-116.5,236.07,-638.53,0.2642
commodities,HGF,53,21,32,39.62,-4523.02,-85.34,472.37,-412.01,0.3745
commodities,NGF,71,43,28,60.56,-328.5,-4.63,641.56,-805.43,0.976
commodities,SIF,68,38,30,55.88,-2046.96,-30.1,641.19,-925.69,0.8462
derivatives,CNXAUTO,43,16,27,37.21,-4825.98,-112.23,330.0,-557.97,0.3219
derivatives,CNXFMCG,56,23,33,41.07,-4231.42,-75.56,322.14,-474.97,0.3659
derivatives,CNXIT,53,26,27,49.06,-5004.14,-94.42,297.17,-615.15,0.4015
derivatives,NSEBANK,50,22,28,44.0,-2439.91,-48.8,215.56,-278.82,0.315
derivatives,NSEI,49,19,30,38.78,-4306.88,-87.9,260.84,-358.4,0.3175
equity,BHARTIARTL_NS,57,30,27,52.63,-4456.03,-78.18,410.47,-559.18,0.5037
equity,HDFCBANK_NS,46,20,26,43.48,-5816.31,-126.44,422.6,-697.92,0.4096
equity,ICICIBANK_NS,52,27,25,51.92,-4811.26,-92.52,397.85,-661.5,0.4213
equity,INFY_NS,53,32,21,60.38,-2570.18,-48.49,482.07,-735.99,0.7305
equity,ITC_NS,57,22,35,38.6,-5268.68,-92.43,318.9,-479.96,0.3419
equity,KOTAKBANK_NS,41,12,29,29.27,-7547.04,-184.07,592.73,-571.94,0.2714
equity,LT_NS,58,29,29,50.0,-5712.13,-98.48,548.38,-680.57,0.4503
equity,RELIANCE_NS,55,26,29,47.27,-6336.69,-115.21,444.95,-704.75,0.3701
equity,SBIN_NS,49,23,26,46.94,-7000.62,-142.87,476.03,-683.14,0.323
equity,TCS_NS,44,20,24,45.45,-5437.04,-123.57,370.37,-727.13,0.3848
