target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1084,46.86,-98012.01,1987.99,-90.42,-98818.69,-98.0279,0.4961,-13.7621
2,1084,42.53,-96507.5,3492.5,-89.03,-98255.71,-96.5675,0.5381,-14.3721
3,1084,42.25,-93748.84,6251.16,-86.48,-95609.69,-93.863,0.5527,-15.2712
4,1084,42.25,-92971.59,7028.41,-85.77,-94832.44,-93.1,0.5558,-15.4501
5,1084,42.25,-93141.02,6858.98,-85.92,-95001.87,-93.2663,0.5544,-15.4759
