rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,1,commodities,CLF,2026-04-08,INVERSE_SELL,SELL,LONG,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.32886,93.462819,95.257182,95.257182,96.154364,97.051546,97.948728,98.845909,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,1060,99988.59,937.82,1,4,2026-04-08T14:20:00-04:00,95.238131,TP1,963.83,60.28,903.54,0.9036,0.9635
BEST,2,1,commodities,CLF,2026-04-13,INVERSE_BUY,BUY,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.559286,105.037753,102.142239,102.142239,100.694482,99.246725,97.798968,96.351211,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,666,68970.48,998.65,1,6,2026-04-13T09:45:00-04:00,102.162668,TP1,930.15,41.1,889.04,1.289,0.8902
BEST,3,1,commodities,CLF,2026-03-31,INVERSE_SELL,SELL,LONG,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.550305,100.382994,102.617006,102.617006,103.734013,104.851019,105.968025,107.085032,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,842,85505.36,999.78,1,1,2026-03-31T12:45:00-04:00,102.596483,TP1,880.88,51.57,829.31,0.9699,0.8295
BEST,4,1,commodities,CLF,2026-04-24,INVERSE_SELL,SELL,LONG,2026-04-24T09:15:00-04:00,2026-04-24T09:20:00-04:00,94.669998,94.718937,93.730224,95.609772,95.609772,96.549546,97.48932,98.429094,99.368868,0.626516,0.939774,95.925928,95.973522,94.87,36.6801,0.066249,0.213125,19.8737,2268.0,3347.95,0.0,71.43,STRONG BEAR,992,93961.19,999.4,1,22,2026-04-24T11:05:00-04:00,95.59065,TP1,864.74,56.64,808.1,0.86,0.8086
BEST,5,1,commodities,CLF,2026-04-06,INVERSE_SELL,SELL,LONG,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,110.949997,110.972187,109.976544,111.92345,111.92345,112.896902,113.870355,114.843808,115.81726,0.648968,0.973453,111.72238,111.792343,112.10538,39.9699,0.040678,0.205255,16.6209,2283.0,1823.6,14.29,71.43,STRONG BEAR,901,99985.94,916.89,1,3,2026-04-06T10:35:00-04:00,111.901065,TP1,836.92,60.24,776.68,0.7768,0.8471
BEST,6,1,commodities,CLF,2026-04-08,INVERSE_BUY,BUY,SHORT,2026-04-08T13:55:00-04:00,2026-04-08T14:00:00-04:00,95.32,95.290936,96.165041,94.474958,94.474958,93.629917,92.784875,91.939834,91.094792,0.563361,0.845042,95.231799,95.229239,94.643502,49.08,-0.150098,-0.276607,17.3417,1930.0,2580.1,42.86,28.57,MILD BULL,1049,99960.19,937.11,1,1,2026-04-08T14:00:00-04:00,94.493853,TP1,836.14,59.73,776.41,0.7767,0.8285
BEST,7,1,commodities,CLF,2026-04-28,INVERSE_BUY,BUY,SHORT,2026-04-28T09:15:00-04:00,2026-04-28T09:20:00-04:00,100.080002,100.069978,100.889152,99.270852,99.270852,98.461702,97.652551,96.843401,96.034251,0.539433,0.80915,97.15352,96.82694,100.160001,82.4062,0.235019,0.029464,16.397,1996.0,1151.35,57.14,28.57,MILD BULL,999,99969.91,838.51,1,2,2026-04-28T09:25:00-04:00,99.290706,TP1,778.49,59.75,718.74,0.719,0.8572
BEST,8,1,commodities,CLF,2026-04-07,INVERSE_BUY,BUY,SHORT,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,115.076978,116.035433,114.204573,114.204573,113.289142,112.373712,111.458282,110.542852,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,868,99886.82,852.08,3,4,2026-04-07T15:15:00-04:00,114.227413,TP1,737.42,59.71,677.71,0.6785,0.7954
BEST,9,1,commodities,CLF,2026-04-10,INVERSE_SELL,SELL,LONG,2026-04-10T10:20:00-04:00,2026-04-10T10:25:00-04:00,97.57,97.589514,96.823244,98.316755,98.316755,99.063511,99.810267,100.557023,101.303778,0.497837,0.746756,98.060367,98.110425,98.223927,41.8138,0.018069,0.132344,16.6204,1474.0,1576.1,0.0,71.43,STRONG BEAR,1024,99931.66,804.49,1,4,2026-04-10T10:40:00-04:00,98.297092,TP1,724.56,60.18,664.38,0.6648,0.8258
BEST,10,1,commodities,NGF,2026-04-27,INVERSE_BUY,BUY,SHORT,2026-04-27T09:15:00-04:00,2026-04-27T09:20:00-04:00,2.792,2.791442,2.812691,2.77131,2.77131,2.750619,2.729929,2.709238,2.688548,0.013794,0.020691,2.704283,2.693345,2.791667,85.7764,0.008379,0.002405,19.4153,1954.0,1342.35,71.43,14.29,STRONG BULL,35823,99997.81,781.35,1,32,2026-04-27T11:55:00-04:00,2.771864,TP1,701.35,59.79,641.56,0.6416,0.8211
