date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-02-13,TRADED,14,0,7,7,14,0,0,0,0,14,0,-1253.86,-89.56,-31.84,-154.90,-29599.15,-2114.22,-752.03,-3670.51,743706.31,0,14,1253.86,29599.15,3.8276,
2022-02-14,TRADED,12,0,5,7,11,1,0,0,1,11,0,-679.46,-56.62,120.90,-172.56,-16125.03,-1343.75,2861.45,-4104.23,727581.29,1,11,800.36,18986.47,2.5530,
2022-02-15,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,727581.29,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2022-02-16,TRADED,14,0,6,8,12,2,0,0,2,12,0,-22.73,-1.62,603.95,-131.94,-488.11,-34.86,13728.54,-3007.14,727093.17,1,10,717.83,16290.46,2.1914,
2022-02-17,TRADED,6,0,4,2,6,0,0,0,0,6,0,-365.88,-60.98,-18.74,-112.50,-8317.95,-1386.32,-425.54,-2551.48,718775.22,0,6,365.88,8317.95,1.1440,
2022-02-18,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,718775.22,0,0,0.00,0.00,0.0000,
2022-02-19,TRADED,10,0,5,5,10,0,0,0,0,10,0,-772.75,-77.28,-13.60,-124.23,-19271.57,-1927.16,-339.39,-3110.00,699503.66,0,10,772.75,19271.56,2.6812,
2022-02-20,TRADED,3,0,1,2,2,1,0,0,1,2,0,327.59,109.20,388.15,-34.90,8207.86,2735.95,9719.62,-871.78,707711.52,1,2,60.56,1511.76,0.2161,
2022-02-21,TRADED,5,0,4,1,4,1,0,0,1,4,0,-11.79,-2.36,310.09,-111.77,-309.52,-61.90,8011.22,-2900.10,707402.00,1,2,196.26,5081.93,0.7133,
2022-02-22,TRADED,2,0,2,0,2,0,0,0,0,2,0,-145.81,-72.91,-17.79,-128.02,-3873.75,-1936.88,-473.87,-3399.88,703528.25,0,2,145.81,3873.75,0.5476,
2022-02-23,TRADED,1,0,1,0,0,1,0,0,1,0,0,415.25,415.25,415.25,415.25,11010.76,11010.76,11010.76,11010.76,714539.01,1,0,0.00,0.00,0.0000,
2022-02-24,TRADED,1,0,1,0,1,0,0,0,0,1,0,-5.91,-5.91,-5.91,-5.91,-163.21,-163.21,-163.21,-163.21,714375.81,0,1,5.91,163.20,0.0228,
2022-02-25,TRADED,2,0,0,2,2,0,0,0,0,2,0,-36.97,-18.48,-4.64,-32.33,-955.52,-477.76,-120.04,-835.48,713420.28,0,2,36.97,955.53,0.1338,
2022-02-26,TRADED,11,0,7,4,10,1,0,0,1,10,0,-547.41,-49.76,178.35,-162.91,-13997.90,-1272.54,4541.00,-4175.04,699422.39,1,10,725.76,18538.89,2.5986,
2022-02-27,TRADED,7,0,3,4,4,3,0,0,3,4,0,571.59,81.66,393.08,-164.64,14604.66,2086.38,10049.04,-4242.52,714027.05,1,3,164.64,4242.52,0.6020,
2022-02-28,TRADED,6,0,3,3,6,0,0,0,0,6,0,-530.57,-88.43,-49.41,-175.06,-13877.53,-2312.92,-1286.90,-4605.24,700149.51,0,6,530.57,13877.54,1.9436,
2022-03-01,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,700149.51,0,0,0.00,0.00,0.0000,
2022-03-02,TRADED,10,0,7,3,10,0,0,0,0,10,0,-675.12,-67.51,-2.79,-161.11,-15314.87,-1531.49,-63.43,-3640.61,684834.64,0,10,675.12,15314.87,2.1874,
2022-03-03,TRADED,5,0,1,4,4,1,0,0,1,4,0,226.79,45.36,576.43,-144.70,5163.50,1032.70,13147.41,-3320.14,689998.15,1,3,204.94,4663.77,0.6810,
2022-03-04,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,689998.15,0,0,0.00,0.00,0.0000,
2022-03-05,TRADED,1,0,0,1,1,0,0,0,0,1,0,-140.51,-140.51,-140.51,-140.51,-3586.82,-3586.82,-3586.82,-3586.82,686411.33,0,1,140.51,3586.82,0.5198,
2022-03-06,TRADED,8,0,5,3,5,3,0,0,3,5,0,992.87,124.11,587.23,-162.33,25420.40,3177.55,15002.73,-4111.53,711831.73,1,3,267.59,6785.64,0.9787,
2022-03-07,TRADED,4,0,2,2,2,2,0,0,2,2,0,346.83,86.71,387.72,-147.44,8905.91,2226.48,10043.30,-3819.19,720737.63,1,1,147.44,3819.19,0.5271,
2022-03-08,TRADED,8,0,3,5,8,0,0,0,0,8,0,-456.76,-57.09,-6.94,-118.97,-11901.54,-1487.69,-181.60,-3105.16,708836.10,0,8,456.76,11901.53,1.6513,
2022-03-09,TRADED,2,0,1,1,1,1,0,0,1,1,0,228.82,114.41,285.93,-57.11,5898.12,2949.06,7378.89,-1480.77,714734.22,1,1,57.11,1480.77,0.2089,
2022-03-10,TRADED,1,0,1,0,1,0,0,0,0,1,0,-82.83,-82.83,-82.83,-82.83,-1980.49,-1980.49,-1980.49,-1980.49,712753.73,0,1,82.83,1980.49,0.2771,
2022-03-11,TRADED,9,0,2,7,6,3,0,0,3,6,0,484.58,53.84,417.85,-148.12,12225.53,1358.39,10596.17,-3811.82,724979.26,2,5,354.46,9084.06,1.2558,
