market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,70,21,49,30.0,-9561.06,-136.59,32683.15,-9999.64,0.9618
commodities,GCF,59,21,38,35.59,9538.19,161.66,19936.76,-3447.73,1.1528
commodities,HGF,53,19,34,35.85,-1566.54,-29.56,10536.61,-5719.87,0.9745
commodities,NGF,71,17,54,23.94,-99778.12,-1405.33,12141.28,-7410.62,0.4991
commodities,SIF,68,22,46,32.35,-24802.39,-364.74,29371.17,-7418.78,0.8577
derivatives,CNXAUTO,43,19,24,44.19,25525.39,593.61,14906.3,-5171.01,1.4919
derivatives,CNXFMCG,56,17,39,30.36,5459.38,97.49,12236.65,-4356.43,1.0808
derivatives,CNXIT,53,20,33,37.74,55242.9,1042.32,19966.5,-4044.01,1.7821
derivatives,NSEBANK,50,12,38,24.0,9087.04,181.74,12695.52,-4863.26,1.1568
derivatives,NSEI,49,18,31,36.73,20919.47,426.93,14412.13,-3864.16,1.4436
equity,BHARTIARTL_NS,56,18,38,32.14,23727.2,423.7,19423.89,-5150.66,1.2874
equity,HDFCBANK_NS,45,14,31,31.11,12498.08,277.74,16455.64,-5233.11,1.1586
equity,ICICIBANK_NS,51,14,37,27.45,58741.3,1151.79,18418.53,-4980.0,1.8142
equity,INFY_NS,53,16,37,30.19,1640.67,30.96,18507.89,-5822.56,1.0154
equity,ITC_NS,57,13,44,22.81,-9629.13,-168.93,14696.79,-4192.01,0.8597
equity,KOTAKBANK_NS,41,16,25,39.02,59539.79,1452.19,19155.85,-6934.74,2.0025
equity,LT_NS,58,16,42,27.59,16014.51,276.11,23291.71,-6681.5,1.1735
equity,RELIANCE_NS,55,17,38,30.91,21453.0,390.05,28453.3,-5505.23,1.2796
equity,SBIN_NS,49,19,30,38.78,85698.15,1748.94,22439.19,-5777.22,2.273
equity,TCS_NS,44,17,27,38.64,69722.55,1584.6,20309.31,-4792.01,2.0366
