target_level,total_trades,win_rate_pct,net_pnl,ending_equity,average_profit_loss,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
1,1081,44.96,-67218.56,932781.44,-62.18,-184524.83,-17.596,0.9564,-1.4732
2,1081,34.14,63266.0,1063266.0,58.53,-129508.38,-12.7159,1.0357,1.567
3,1081,32.19,196199.85,1196199.85,181.5,-113086.93,-10.4161,1.1085,3.9854
4,1081,32.1,266362.9,1266362.9,246.4,-108837.74,-8.7718,1.147,5.0539
5,1081,32.01,329470.38,1329470.38,304.78,-136942.99,-10.5735,1.1816,5.2668
