date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,13,4,9,-7388.65,0.0,-7388.65,-0.7389,992611.35,-7388.65,-0.7389
2026-03-31,13,2,11,-10970.84,0.0,-10970.84,-1.1053,981640.51,-18359.49,-1.8359
2026-04-01,54,21,33,17729.25,0.0,17729.25,1.8061,999369.76,-630.24,-0.063
2026-04-02,36,17,19,75977.98,0.0,75977.98,7.6026,1075347.74,0.0,0.0
2026-04-06,56,17,39,-37425.56,0.0,-37425.56,-3.4803,1037922.18,-37425.56,-3.4803
2026-04-07,76,21,55,7239.53,0.0,7239.53,0.6975,1045161.71,-30186.03,-2.8071
2026-04-08,48,15,33,-16867.2,0.0,-16867.2,-1.6138,1028294.51,-47053.23,-4.3756
2026-04-09,56,21,35,88281.42,0.0,88281.42,8.5852,1116575.93,0.0,0.0
2026-04-10,73,23,50,1879.53,0.0,1879.53,0.1683,1118455.46,0.0,0.0
2026-04-13,54,19,35,36763.45,0.0,36763.45,3.287,1155218.91,0.0,0.0
2026-04-14,9,2,7,1992.64,0.0,1992.64,0.1725,1157211.55,0.0,0.0
2026-04-15,70,20,50,-40308.27,0.0,-40308.27,-3.4832,1116903.28,-40308.27,-3.4832
2026-04-16,66,25,41,24063.49,0.0,24063.49,2.1545,1140966.77,-16244.78,-1.4038
2026-04-17,69,20,49,-8935.72,0.0,-8935.72,-0.7832,1132031.05,-25180.5,-2.176
2026-04-20,25,5,20,-49810.06,0.0,-49810.06,-4.4001,1082220.99,-74990.56,-6.4803
2026-04-21,49,14,35,3739.82,0.0,3739.82,0.3456,1085960.81,-71250.74,-6.1571
2026-04-22,63,23,40,78792.44,0.0,78792.44,7.2556,1164753.25,0.0,0.0
2026-04-23,66,16,50,-11517.05,0.0,-11517.05,-0.9888,1153236.2,-11517.05,-0.9888
2026-04-24,52,17,35,-5838.49,0.0,-5838.49,-0.5063,1147397.71,-17355.54,-1.4901
2026-04-27,59,18,41,-3024.03,0.0,-3024.03,-0.2636,1144373.68,-20379.57,-1.7497
2026-04-28,54,17,37,3410.5,0.0,3410.5,0.298,1147784.18,-16969.07,-1.4569
2026-04-29,20,11,9,48415.67,0.0,48415.67,4.2182,1196199.85,0.0,0.0
