market,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,321,138,183,42.99,-95538.67,-297.63,10378.77,-9999.64,0.848
derivatives,251,118,133,47.01,2780.19,11.08,5578.19,-5171.01,1.011
equity,509,230,279,45.19,25539.92,50.18,6402.99,-6934.74,1.0386
