date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-01-06,TRADED,8,0,8,0,8,0,0,0,0,8,0,-830.65,-103.83,-12.11,-229.53,-19182.63,-2397.83,-280.91,-5289.99,538430.39,0,8,830.65,19182.62,3.4401,
2022-01-07,TRADED,4,0,2,2,3,1,0,0,1,3,0,122.01,30.50,354.43,-164.72,2812.87,703.22,8263.43,-3881.66,541243.26,1,2,164.72,3881.66,0.7121,
2022-01-08,TRADED,27,0,17,10,24,3,0,0,3,24,0,-932.91,-34.55,214.00,-208.66,-22224.16,-823.12,5121.45,-4956.66,519019.08,2,15,1346.34,32122.96,5.9350,
2022-01-09,TRADED,20,0,9,11,16,4,0,0,4,16,0,-754.67,-37.73,272.25,-153.02,-18163.34,-908.17,6521.46,-3690.11,500855.74,1,7,1093.60,26274.39,5.0469,
2022-01-10,TRADED,24,0,14,10,20,4,0,0,4,20,0,-644.12,-26.84,361.05,-187.04,-15322.26,-638.43,8639.05,-4441.22,485533.49,1,6,779.55,18585.09,3.7107,
2022-01-11,TRADED,10,0,6,4,9,1,0,0,1,9,0,-324.56,-32.46,407.85,-200.53,-7786.33,-778.63,9753.37,-4795.90,477747.16,1,7,529.79,12693.64,2.5882,
2022-01-12,TRADED,1,0,1,0,0,1,0,0,1,0,0,317.23,317.23,317.23,317.23,7455.53,7455.53,7455.53,7455.53,485202.68,1,0,0.00,0.00,0.0000,
2022-01-13,TRADED,8,0,5,3,6,2,0,0,2,6,0,193.05,24.13,377.21,-110.14,4395.29,549.41,8583.16,-2525.10,489597.97,1,6,376.77,8620.02,1.7605,
2022-01-14,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,489597.97,0,0,0.00,0.00,0.0000,
2022-01-15,TRADED,10,0,8,2,5,5,0,0,5,5,0,327.23,32.72,402.68,-180.62,7543.83,754.38,9299.11,-4200.00,497141.81,2,2,252.13,5861.70,1.1969,
2022-01-16,TRADED,21,0,9,12,15,6,0,0,6,15,0,-37.64,-1.79,344.57,-155.42,-865.10,-41.20,8013.47,-3614.63,496276.70,1,6,385.24,8927.38,1.7957,
2022-01-17,TRADED,6,0,2,4,2,4,0,0,4,2,0,1110.11,185.02,385.10,-112.08,25923.40,4320.57,9012.66,-2593.59,522200.10,4,2,114.38,2646.97,0.5334,
2022-01-18,TRADED,3,0,0,3,1,2,0,0,2,1,0,192.46,64.15,242.99,-188.84,4474.04,1491.35,5732.05,-4527.38,526674.15,2,1,188.84,4527.38,0.8523,
2022-01-19,TRADED,10,0,5,5,7,3,0,0,3,7,0,244.33,24.43,289.00,-177.44,5845.02,584.50,6915.01,-4247.21,532519.17,2,5,218.97,5236.29,0.9737,
2022-01-20,TRADED,13,0,9,4,11,2,0,0,2,11,0,-601.99,-46.31,153.30,-148.69,-14338.77,-1102.98,3645.86,-3564.36,518180.39,1,6,621.76,14835.81,2.7860,
2022-01-21,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,518180.39,0,0,0.00,0.00,0.0000,
2022-01-22,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,518180.39,0,0,0.00,0.00,0.0000,
2022-01-23,TRADED,22,0,11,11,20,2,0,0,2,20,0,-407.36,-18.52,352.02,-150.54,-11495.55,-522.52,10006.39,-4260.58,506684.85,1,12,613.64,17384.00,3.3171,
2022-01-24,TRADED,4,0,1,3,2,2,0,0,2,2,0,404.95,101.24,346.14,-142.89,11400.07,2850.02,9794.56,-4117.66,518084.92,2,1,142.89,4117.66,0.7885,
2022-01-25,TRADED,3,0,3,0,2,1,0,0,1,2,0,118.29,39.43,257.97,-82.01,3224.89,1074.96,7045.43,-2242.79,521309.81,1,2,139.68,3820.54,0.7374,
2022-01-26,TRADED,2,0,2,0,1,1,0,0,1,1,0,170.45,85.22,246.90,-76.45,4702.00,2351.00,6735.33,-2033.33,526011.80,1,1,76.45,2033.34,0.3851,
2022-01-27,TRADED,7,0,2,5,5,2,0,0,2,5,0,-123.45,-17.64,269.84,-170.30,-3353.05,-479.01,7386.07,-4706.40,522658.76,2,4,403.36,10953.81,2.0824,
2022-01-28,TRADED,8,0,4,4,4,4,0,0,4,4,0,404.25,50.53,235.45,-126.59,11002.02,1375.25,6388.49,-3439.49,533660.78,3,2,126.59,3439.49,0.6581,
2022-01-29,TRADED,8,0,3,5,6,2,0,0,2,6,0,47.19,5.90,216.65,-131.97,1219.73,152.47,5726.54,-3516.49,534880.50,1,4,221.33,5889.20,1.1007,
2022-01-30,TRADED,18,0,8,10,15,3,0,0,3,15,0,-591.95,-32.89,232.06,-184.26,-15576.44,-865.36,6114.82,-4872.54,519304.06,1,12,862.37,22690.11,4.1883,
2022-01-31,TRADED,6,0,2,4,3,3,0,0,3,3,0,559.98,93.33,364.69,-112.04,14972.75,2495.46,9780.88,-3005.06,534276.81,2,2,121.66,3262.31,0.6162,
2022-02-01,TRADED,10,0,7,3,8,2,0,0,2,8,0,211.19,21.12,354.90,-109.03,5455.78,545.58,9182.89,-2848.98,539732.60,1,4,111.17,2905.05,0.5437,
2022-02-02,TRADED,12,0,5,7,8,4,0,0,4,8,0,-409.99,-34.17,115.60,-160.91,-10617.87,-884.82,2998.41,-4185.80,529114.73,2,4,525.59,13616.28,2.5228,
2022-02-03,TRADED,6,0,2,4,2,4,0,0,4,2,0,453.15,75.52,267.08,-74.80,12303.78,2050.63,7255.39,-2026.34,541418.51,4,2,117.89,3192.85,0.6034,
2022-02-04,TRADED,1,0,1,0,0,1,0,0,1,0,0,285.35,285.35,285.35,285.35,7620.07,7620.07,7620.07,7620.07,549038.58,1,0,0.00,0.00,0.0000,
2022-02-05,TRADED,3,0,3,0,2,1,0,0,1,2,0,-7.65,-2.55,92.13,-51.91,-178.08,-59.36,2229.36,-1248.66,548860.51,1,1,51.91,1248.65,0.2270,
2022-02-06,TRADED,32,0,20,12,32,0,0,0,0,32,0,-1687.04,-52.72,-3.48,-129.44,-40565.18,-1267.66,-83.77,-3126.13,508295.34,0,32,1687.04,40565.17,7.3908,
2022-02-07,TRADED,1,0,1,0,0,1,0,0,1,0,0,347.63,347.63,347.63,347.63,8314.21,8314.21,8314.21,8314.21,516609.54,1,0,0.00,0.00,0.0000,
2022-02-08,TRADED,7,0,3,4,7,0,0,0,0,7,0,-522.16,-74.59,-19.55,-202.96,-11921.79,-1703.11,-445.46,-4648.14,504687.75,0,7,522.16,11921.79,2.3077,
2022-02-09,TRADED,15,0,8,7,13,2,0,0,2,13,0,-615.28,-41.02,313.18,-200.60,-14135.33,-942.36,7157.58,-4618.57,490552.42,2,13,1206.68,27640.08,5.4767,
2022-02-10,TRADED,7,0,5,2,5,2,0,0,2,5,0,-241.82,-34.55,323.84,-210.83,-5470.97,-781.57,7317.33,-4808.81,485081.45,2,3,384.49,8741.64,1.7820,
2022-02-11,TRADED,8,0,0,8,7,1,0,0,1,7,0,-348.88,-43.61,267.43,-170.94,-7967.12,-995.89,6154.82,-3916.44,477114.34,1,7,616.31,14121.93,2.9112,
2022-02-12,TRADED,2,0,1,1,2,0,0,0,0,2,0,-104.21,-52.11,-40.10,-64.11,-2456.78,-1228.39,-946.12,-1510.66,474657.56,0,2,104.21,2456.78,0.5149,
2022-02-13,TRADED,21,0,11,10,18,3,0,0,3,18,0,-1015.62,-48.36,175.67,-149.67,-23963.14,-1141.10,4151.98,-3546.61,450694.42,1,7,1015.62,23963.14,5.0485,
2022-02-14,TRADED,18,0,5,13,14,4,0,0,4,14,0,-427.98,-23.78,265.93,-203.81,-10172.02,-565.11,6297.99,-4850.53,440522.42,1,6,769.25,18253.20,3.9942,
2022-02-15,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,440522.42,0,0,0.00,0.00,0.0000,
2022-02-16,TRADED,23,0,12,11,21,2,0,0,2,21,0,-1337.74,-58.16,92.04,-178.25,-30349.16,-1319.53,2091.24,-4034.20,410173.25,1,9,1337.74,30349.17,6.8894,
2022-02-17,TRADED,8,0,4,4,8,0,0,0,0,8,0,-657.31,-82.16,-0.16,-178.76,-14938.23,-1867.28,-3.66,-4044.66,395235.01,0,8,657.31,14938.24,3.6419,
2022-02-18,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,395235.01,0,0,0.00,0.00,0.0000,
