date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2025-05-15,TRADED,14,0,7,7,8,6,0,0,6,8,0,2153.79,153.84,1032.72,-444.38,20919.81,1494.27,10019.68,-4300.52,1020919.81,3,5,1064.57,10324.31,1.0055,
2025-05-16,TRADED,18,0,12,6,16,2,0,0,2,16,0,-1996.57,-110.92,284.82,-488.41,-19229.13,-1068.29,2753.82,-4708.18,1001690.69,1,11,1996.57,19229.12,1.8835,
2025-05-17,TRADED,18,0,5,13,13,5,0,0,5,13,0,-243.72,-13.54,383.70,-315.55,-2396.81,-133.16,3702.16,-3052.29,999293.88,2,8,884.28,8575.60,0.8509,
2025-05-18,TRADED,13,0,9,4,9,4,0,0,4,9,0,412.92,31.76,870.95,-365.51,3999.47,307.65,8403.89,-3504.81,1003293.32,2,6,583.65,5598.68,0.5563,
2025-05-19,TRADED,5,0,3,2,2,3,0,0,3,2,0,1007.07,201.41,577.80,-314.37,9638.03,1927.61,5536.18,-3029.35,1012931.35,1,1,314.37,3029.35,0.2998,
2025-05-20,TRADED,15,0,6,9,12,3,0,0,3,12,0,-1033.35,-68.89,772.64,-592.70,-9867.09,-657.81,7296.76,-5654.81,1003064.27,1,8,1805.99,17163.84,1.6945,
