rank_type,rank,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,slippage_points,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
BEST,1,derivatives,CNXFMCG,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00+05:30,48400.550781,48855.101562,48392.800781,48791.300781,0.0,-0.0649,2026-04-17T09:20:00+05:30,48895.101562,2026-04-17T09:25:00+05:30,48897.75,48390.870671,49911.508658,2026-04-17T15:20:00+05:30,49660.199219,END_OF_DAY,19,929057.25,5.0,14486.54,580.2,13906.34,1.4968,1.4299,72
BEST,2,derivatives,CNXFMCG,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,51065.300781,51259.449219,51040.300781,51167.648438,0.0,0.3582,2026-04-29T09:20:00+05:30,51320.75,2026-04-29T09:25:00+05:30,51327.898438,51055.087721,51873.51987,2026-04-29T12:10:00+05:30,51868.51987,TARGET,19,975230.07,5.0,10271.81,604.11,9667.7,0.9913,1.8316,34
BEST,3,derivatives,CNXAUTO,2026-04-23,OPEN_EQUALS_HIGH,SHORT,2026-04-23T09:15:00+05:30,26276.199219,26276.199219,26090.599609,26103.050781,0.0,-0.6965,2026-04-23T10:15:00+05:30,26052.300781,2026-04-23T10:20:00+05:30,26049.25,26281.454459,25584.841083,2026-04-23T15:20:00+05:30,25839.0,END_OF_DAY,38,989871.5,5.0,7989.5,602.84,7386.66,0.7462,0.8195,61
BEST,4,derivatives,CNXIT,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,28633.099609,28849.300781,28633.099609,28821.550781,0.0,0.2935,2026-04-27T09:20:00+05:30,28969.449219,2026-04-27T09:25:00+05:30,28973.349609,28627.372989,29665.302849,2026-04-27T15:20:00+05:30,29172.050781,END_OF_DAY,28,811253.79,5.0,5563.63,508.91,5054.72,0.6231,0.5144,72
BEST,5,derivatives,NSEBANK,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,55193.550781,55581.25,55180.800781,55571.300781,0.0,0.6795,2026-04-10T09:25:00+05:30,55625.75,2026-04-10T09:30:00+05:30,55633.851562,55182.512071,56536.530545,2026-04-10T15:20:00+05:30,55937.101562,END_OF_DAY,17,945775.48,5.0,5155.25,584.78,4570.47,0.4833,0.5891,71
BEST,6,derivatives,NSEI,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,24380.25,24390.550781,24337.699219,24390.550781,0.0,0.6384,2026-04-16T09:35:00+05:30,24326.800781,2026-04-16T09:40:00+05:30,24321.25,24385.12605,24193.4979,2026-04-16T12:00:00+05:30,24198.4979,TARGET,41,997171.25,5.0,5032.84,608.52,4424.32,0.4437,1.5667,29
BEST,7,derivatives,CNXAUTO,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,25803.050781,25929.849609,25792.349609,25856.099609,0.0,0.5734,2026-04-27T10:15:00+05:30,25941.0,2026-04-27T10:20:00+05:30,25946.900391,25797.890171,26244.92083,2026-04-27T15:20:00+05:30,26065.050781,END_OF_DAY,38,985982.21,5.0,4489.71,607.17,3882.54,0.3938,0.6634,61
BEST,8,derivatives,NSEI,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,24374.550781,24469.650391,24357.150391,24468.849609,0.0,0.2218,2026-04-21T09:35:00+05:30,24469.900391,2026-04-21T09:40:00+05:30,24474.699219,24369.675871,24684.745914,2026-04-21T15:20:00+05:30,24573.050781,END_OF_DAY,40,978987.97,5.0,3934.06,602.92,3331.14,0.3403,0.7569,69
BEST,9,derivatives,NSEI,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,23855.150391,23909.449219,23836.900391,23900.0,0.0,3.1113,2026-04-08T09:35:00+05:30,23913.900391,2026-04-08T09:40:00+05:30,23918.349609,23850.379361,24054.290107,2026-04-08T15:20:00+05:30,23998.800781,END_OF_DAY,41,980652.33,5.0,3298.5,603.53,2694.97,0.2748,0.9008,69
BEST,10,derivatives,CNXFMCG,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00+05:30,51383.300781,51383.300781,50981.148438,51189.25,0.0,0.6090,2026-04-24T09:45:00+05:30,50959.101562,2026-04-24T09:50:00+05:30,50953.648438,51393.577441,50073.79043,2026-04-24T15:20:00+05:30,50784.25,END_OF_DAY,19,968119.32,5.0,3218.57,593.04,2625.53,0.2712,0.3106,67
WORST,1,derivatives,CNXAUTO,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,23913.150391,23913.150391,23575.650391,23632.150391,0.0,-1.3917,2026-04-02T11:25:00+05:30,23568.699219,2026-04-02T11:30:00+05:30,23563.800781,23917.933021,22855.536302,2026-04-02T13:25:00+05:30,23922.933021,STOP_LOSS,27,636222.62,5.0,-9696.57,412.08,-10108.65,-1.5889,-1.0425,24
WORST,2,derivatives,NSEBANK,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,50618.25,50618.25,50005.800781,50066.648438,0.0,-1.6201,2026-04-02T10:45:00+05:30,50000.449219,2026-04-02T10:50:00+05:30,49993.449219,50628.37365,48723.600356,2026-04-02T13:25:00+05:30,50633.37365,STOP_LOSS,15,749901.74,5.0,-9598.87,476.32,-10075.19,-1.3435,-1.0496,32
WORST,3,derivatives,NSEI,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,22785.849609,22785.849609,22592.300781,22666.050781,0.0,0.4262,2026-04-06T09:45:00+05:30,22589.900391,2026-04-06T09:50:00+05:30,22586.099609,22790.406779,22177.48527,2026-04-06T12:55:00+05:30,22795.406779,STOP_LOSS,44,993788.38,5.0,-9209.52,614.05,-9823.57,-0.9885,-1.0667,38
WORST,4,derivatives,NSEI,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,22383.400391,22383.400391,22209.5,22228.0,0.0,-1.3230,2026-04-02T09:55:00+05:30,22206.5,2026-04-02T10:00:00+05:30,22201.800781,22387.877071,21829.648202,2026-04-02T13:00:00+05:30,22392.877071,STOP_LOSS,45,999081.04,5.0,-8598.43,616.72,-9215.15,-0.9224,-1.0717,37
WORST,5,derivatives,NSEBANK,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,51441.699219,51790.699219,51441.699219,51763.75,0.0,2.0383,2026-04-01T12:45:00+05:30,51841.949219,2026-04-01T12:50:00+05:30,51846.851562,51431.410879,52677.73293,2026-04-01T13:40:00+05:30,51426.410879,STOP_LOSS,19,985090.18,5.0,-7988.37,600.14,-8588.51,-0.8719,-1.0751,11
WORST,6,derivatives,NSEBANK,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,55525.050781,55574.800781,55254.75,55507.398438,0.0,-0.3429,2026-04-09T09:45:00+05:30,55155.050781,2026-04-09T09:50:00+05:30,55150.25,55536.155791,54378.438417,2026-04-09T10:30:00+05:30,55541.155791,STOP_LOSS,18,992704.5,5.0,-7036.3,612.3,-7648.6,-0.7705,-1.087,9
WORST,7,derivatives,CNXAUTO,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,25936.849609,26258.75,25936.849609,26178.949219,0.0,0.5996,2026-04-29T09:25:00+05:30,26273.0,2026-04-29T09:30:00+05:30,26279.550781,25931.662239,26975.327865,2026-04-29T15:20:00+05:30,26064.699219,END_OF_DAY,28,735827.42,5.0,-6015.84,460.2,-6476.04,-0.8801,-0.6554,71
WORST,8,derivatives,CNXAUTO,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,24508.849609,24527.150391,24397.099609,24507.199219,0.0,2.9226,2026-04-01T10:25:00+05:30,24386.0,2026-04-01T10:30:00+05:30,24387.25,24513.751379,24134.247241,2026-04-01T13:10:00+05:30,24518.751379,STOP_LOSS,41,999877.25,5.0,-5391.56,615.5,-6007.06,-0.6008,-1.1142,33
WORST,9,derivatives,CNXFMCG,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,50998.800781,51172.0,50954.398438,51061.050781,0.0,0.4324,2026-04-27T09:40:00+05:30,51233.050781,2026-04-27T09:45:00+05:30,51233.550781,50988.601021,51723.450302,2026-04-27T11:30:00+05:30,50983.601021,STOP_LOSS,19,973437.46,5.0,-4749.05,595.24,-5344.29,-0.549,-1.1253,22
WORST,10,derivatives,NSEI,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,22878.900391,22894.699219,22811.400391,22887.0,0.0,2.2409,2026-04-01T10:25:00+05:30,22796.5,2026-04-01T10:30:00+05:30,22792.099609,22883.476171,22609.346487,2026-04-01T13:15:00+05:30,22888.476171,STOP_LOSS,43,980060.28,5.0,-4144.19,603.64,-4747.83,-0.4844,-1.1457,34
