period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,max_profit_date,max_profit_points,max_loss_date,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points
2025,236,19,1,0,1666,1,890,776,1665,1,0,89,127,0,21773.33,100.80,2025-10-12,7728.79,2025-11-22,-4320.62,5,8,15067.29
2026,129,16,0,0,895,1,432,463,893,1,1,44,69,0,17722.99,156.84,2026-02-06,12276.35,2026-01-23,-3294.08,4,8,12729.07
