period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,max_profit_date,max_profit_points,max_loss_date,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points
2025-05,22,2,1,0,136,0,67,69,136,0,0,4,15,0,-2416.88,-127.20,2025-05-22,3531.10,2025-05-12,-2415.75,1,7,9337.29
2025-06,30,3,0,0,240,0,127,113,240,0,0,9,18,0,-4776.20,-176.90,2025-06-26,4280.49,2025-06-19,-2525.07,3,5,6355.44
2025-07,31,1,0,0,231,0,129,102,231,0,0,13,17,0,1268.45,42.28,2025-07-11,6335.26,2025-07-30,-2703.94,3,8,12747.15
2025-08,31,2,0,0,220,0,109,111,220,0,0,12,17,0,3224.34,111.18,2025-08-03,4483.48,2025-08-20,-2193.75,2,4,6141.75
2025-09,30,2,0,0,204,0,114,90,204,0,0,12,16,0,2064.51,73.73,2025-09-30,3735.18,2025-09-01,-2337.36,2,3,5544.48
2025-10,31,4,0,0,201,1,114,87,200,1,0,13,14,0,12845.56,475.76,2025-10-12,7728.79,2025-10-13,-2303.88,5,4,6264.07
2025-11,30,2,0,0,246,0,132,114,246,0,0,9,19,0,2771.99,99.00,2025-11-21,5067.03,2025-11-22,-4320.62,2,4,7207.20
2025-12,31,3,0,0,188,0,98,90,188,0,0,17,11,0,6791.56,242.56,2025-12-03,4736.34,2025-12-17,-3060.79,5,4,7870.11
2026-01,31,4,0,0,229,0,111,118,229,0,0,10,17,0,-2100.92,-77.81,2026-01-30,3174.84,2026-01-23,-3294.08,2,6,6888.41
2026-02,28,5,0,0,182,0,84,98,182,0,0,9,14,0,12139.52,527.81,2026-02-06,12276.35,2026-02-11,-2644.41,2,6,12729.07
2026-03,31,5,0,0,212,0,112,100,212,0,0,12,14,0,7026.09,270.23,2026-03-28,4352.82,2026-03-31,-1924.17,4,3,3886.94
2026-04,30,1,0,0,222,0,99,123,222,0,0,10,19,0,-1983.81,-68.41,2026-04-14,2174.03,2026-04-03,-1742.50,2,8,5362.05
2026-05,9,1,0,0,50,1,26,24,48,1,1,3,5,0,2642.11,330.26,2026-05-02,2111.08,2026-05-06,-1213.38,1,3,1257.97
