market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,9,0,9,0.0,-177896.79,-19766.31,-594.65,-26581.62,0.0
commodities,GCF,8,0,8,0.0,-152427.99,-19053.5,-10136.74,-22223.97,0.0
commodities,HGF,11,0,11,0.0,-162540.67,-14776.42,-14318.54,-15195.14,0.0
commodities,NGF,7,0,7,0.0,-85705.77,-12243.68,-12141.48,-12375.16,0.0
commodities,SIF,10,0,10,0.0,-212163.79,-21216.38,-7068.8,-25677.37,0.0
derivatives,CNXAUTO,8,1,7,12.5,-17063.17,-2132.9,607.18,-5028.58,0.0344
derivatives,CNXFMCG,6,2,4,33.33,-4817.92,-802.99,6015.33,-4434.64,0.6479
derivatives,CNXIT,9,3,6,33.33,-639.05,-71.01,9236.24,-5649.64,0.9686
derivatives,NSEBANK,10,4,6,40.0,-6556.53,-655.65,5267.96,-5639.91,0.671
derivatives,NSEI,10,3,7,30.0,-13052.58,-1305.26,3827.84,-4647.88,0.3921
equity,BHARTIARTL_NS,9,3,6,33.33,1710.58,190.06,10768.92,-4878.5,1.0841
equity,HDFCBANK_NS,12,3,9,25.0,-32413.76,-2701.15,4191.16,-6830.37,0.2025
equity,ICICIBANK_NS,8,4,4,50.0,-1922.96,-240.37,5789.25,-5011.17,0.8993
equity,INFY_NS,8,3,5,37.5,14810.89,1851.36,12562.92,-5932.87,1.7065
equity,ITC_NS,9,2,7,22.22,-14441.89,-1604.65,5181.2,-3812.55,0.291
equity,KOTAKBANK_NS,11,5,6,45.45,-14056.74,-1277.89,7146.54,-7217.61,0.577
equity,LT_NS,7,3,4,42.86,-7410.47,-1058.64,4149.62,-6803.72,0.5262
equity,RELIANCE_NS,8,4,4,50.0,20781.08,2597.63,13217.34,-6556.91,2.4701
equity,SBIN_NS,10,2,8,20.0,-27419.56,-2741.96,6720.31,-9342.73,0.2883
equity,TCS_NS,9,5,4,55.56,9457.05,1050.78,12685.5,-5799.79,1.4695
