market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,62,1,61,1.61,-1210862.91,-19530.05,4974.24,-27207.07,0.0041
commodities,GCF,63,0,63,0.0,-1094803.86,-17377.84,-8578.52,-23786.19,0.0
commodities,HGF,68,0,68,0.0,-1007744.22,-14819.77,-14165.66,-15195.14,0.0
commodities,NGF,66,0,66,0.0,-808850.85,-12255.32,-12105.16,-12413.55,0.0
commodities,SIF,65,0,65,0.0,-1483728.62,-22826.59,-8191.17,-26911.87,0.0
derivatives,CNXAUTO,49,12,37,24.49,-49082.67,-1001.69,8788.74,-6482.32,0.5236
derivatives,CNXFMCG,54,15,39,27.78,-47807.93,-885.33,7245.98,-4673.96,0.5109
derivatives,CNXIT,48,17,31,35.42,-33939.54,-707.07,10521.95,-6714.31,0.6612
derivatives,NSEBANK,54,21,33,38.89,-29857.94,-552.92,5582.46,-5900.62,0.6614
derivatives,NSEI,55,11,44,20.0,-72908.29,-1325.61,7081.31,-4647.88,0.3127
equity,BHARTIARTL_NS,47,20,27,42.55,11703.5,249.01,11092.54,-4907.96,1.1507
equity,HDFCBANK_NS,51,15,36,29.41,-42469.36,-832.73,8393.12,-6912.69,0.6267
equity,ICICIBANK_NS,51,18,33,35.29,-13138.66,-257.62,11438.42,-6971.55,0.8804
equity,INFY_NS,49,15,34,30.61,-37169.09,-758.55,11779.76,-5945.91,0.6882
equity,ITC_NS,55,6,49,10.91,-144941.93,-2635.31,5181.2,-5540.68,0.1103
equity,KOTAKBANK_NS,48,14,34,29.17,-67568.77,-1407.68,7505.71,-8295.89,0.4767
equity,LT_NS,53,21,32,39.62,-4063.07,-76.66,10247.94,-7994.45,0.9588
equity,RELIANCE_NS,50,20,30,40.0,-240.61,-4.81,12309.77,-6556.91,0.9971
equity,SBIN_NS,48,17,31,35.42,-31805.64,-662.62,8354.45,-8452.43,0.7241
equity,TCS_NS,53,18,35,33.96,-35896.61,-677.29,11947.15,-7167.91,0.705
