market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,64,1,63,1.56,-1249723.14,-19526.92,4974.24,-27207.07,0.004
commodities,GCF,65,0,65,0.0,-1136761.16,-17488.63,-8578.52,-23786.19,0.0
commodities,HGF,75,0,75,0.0,-1110847.51,-14811.3,-14165.66,-15195.14,0.0
commodities,NGF,68,0,68,0.0,-833237.66,-12253.5,-12105.16,-12413.55,0.0
commodities,SIF,68,0,68,0.0,-1525251.81,-22430.17,-7068.8,-26911.87,0.0
derivatives,CNXAUTO,51,12,39,23.53,-53348.24,-1046.04,8788.74,-6482.32,0.5028
derivatives,CNXFMCG,55,15,40,27.27,-51082.15,-928.77,7245.98,-4673.96,0.4944
derivatives,CNXIT,54,19,35,35.19,-38670.76,-716.13,10521.95,-6714.31,0.6649
derivatives,NSEBANK,57,22,35,38.6,-28895.52,-506.94,5582.46,-5900.62,0.6876
derivatives,NSEI,58,12,46,20.69,-76526.91,-1319.43,7081.31,-4647.88,0.3147
equity,BHARTIARTL_NS,48,20,28,41.67,6825.0,142.19,11092.54,-4907.96,1.0827
equity,HDFCBANK_NS,56,17,39,30.36,-52148.32,-931.22,8393.12,-6912.69,0.5927
equity,ICICIBANK_NS,54,20,34,37.04,-12764.61,-236.38,11438.42,-6971.55,0.8912
equity,INFY_NS,51,16,35,31.37,-28338.58,-555.66,12562.92,-5945.91,0.7695
equity,ITC_NS,56,7,49,12.5,-144196.65,-2574.94,5181.2,-5540.68,0.1149
equity,KOTAKBANK_NS,53,18,35,33.96,-62208.7,-1173.75,7505.71,-8295.89,0.5566
equity,LT_NS,55,21,34,38.18,-10902.15,-198.22,10247.94,-7994.45,0.8965
equity,RELIANCE_NS,50,22,28,44.0,20141.17,402.82,12309.77,-6556.91,1.267
equity,SBIN_NS,50,18,32,36.0,-24650.94,-493.02,8354.45,-8452.43,0.7854
equity,TCS_NS,53,18,35,33.96,-35896.61,-677.29,11947.15,-7167.91,0.705
