variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
internal_all,commodities,GCF,2026-04-09,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-09T14:10:00-04:00,2026-04-09T14:15:00-04:00,4807.699902,4808.799805,2026-04-09T12:45:00-04:00,4818.124986,atr_fallback,4786.849735,2.0,6.950056,,,,207,995193.88,2199.39,0.2,14,2026-04-09T15:20:00-04:00,4800.599902,SESSION_END,1469.7,17138.06,-15668.36,-1.5744,-7.124
internal_all,commodities,GCF,2026-04-10,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-10T10:15:00-04:00,2026-04-10T10:20:00-04:00,4813.099902,4806.899902,2026-04-09T15:10:00-04:00,4799.867707,atr_fallback,4839.564293,2.0,8.821463,,,,207,996311.68,2780.46,0.2,5,2026-04-10T10:40:00-04:00,4799.667707,STOP_LOSS,-2780.46,17140.77,-19921.23,-1.9995,-7.1647
internal_all,commodities,GCF,2026-04-10,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-10T11:35:00-04:00,2026-04-10T11:40:00-04:00,4784.900098,4793.700195,2026-04-10T11:05:00-04:00,4798.592829,atr_fallback,4757.514634,2.0,9.128488,,,,208,995259.22,2889.69,0.2,35,2026-04-10T14:35:00-04:00,4796.099902,OPPOSITE_STRUCTURE,-2329.56,17187.04,-19516.6,-1.961,-6.7539
internal_all,commodities,GCF,2026-04-10,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-10T14:30:00-04:00,2026-04-10T14:35:00-04:00,4796.099902,4793.299805,2026-04-10T13:25:00-04:00,4787.346362,atr_fallback,4813.606982,2.0,5.835693,,,,208,997588.78,1862.34,0.2,10,2026-04-10T15:20:00-04:00,4791.400098,SESSION_END,-977.56,17185.43,-18162.99,-1.8207,-9.7528
internal_all,commodities,GCF,2026-04-13,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,4758.400098,4788.200195,2026-04-10T14:50:00-04:00,4768.150202,atr_fallback,4738.899888,2.0,6.50007,,,,210,999264.02,2089.52,0.2,13,2026-04-13T10:20:00-04:00,4739.099888,TARGET,4053.04,17175.49,-13122.45,-1.3132,-6.2801
internal_all,commodities,GCF,2026-04-13,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-13T11:00:00-04:00,2026-04-13T11:05:00-04:00,4730.400098,4731.899902,2026-04-13T10:30:00-04:00,4743.525098,atr_fallback,4704.150098,2.0,8.75,,,,211,998114.42,2811.57,0.2,14,2026-04-13T12:15:00-04:00,4742.499805,OPPOSITE_STRUCTURE,-2553.04,17238.94,-19791.98,-1.9829,-7.0395
internal_all,commodities,GCF,2026-04-13,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-13T12:10:00-04:00,2026-04-13T12:15:00-04:00,4742.499805,4740.5,2026-04-13T11:35:00-04:00,4733.296244,atr_fallback,4760.906927,2.0,6.135707,,,,210,995924.96,1974.75,0.2,6,2026-04-13T12:40:00-04:00,4760.706927,TARGET,3823.5,17217.3,-13393.8,-1.3449,-6.7825
internal_all,commodities,GCF,2026-04-13,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-13T14:15:00-04:00,2026-04-13T14:20:00-04:00,4747.900098,4748.399902,2026-04-13T13:05:00-04:00,4757.146558,atr_fallback,4729.407178,2.0,6.164307,,,,210,997059.02,1983.76,0.2,4,2026-04-13T14:35:00-04:00,4757.346558,STOP_LOSS,-1983.76,17213.63,-19197.39,-1.9254,-9.6773
internal_all,commodities,GCF,2026-04-14,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-14T09:15:00-04:00,2026-04-14T09:20:00-04:00,4810.300098,4774.399902,2026-04-13T13:25:00-04:00,4799.146568,atr_fallback,4832.607157,2.0,7.435686,,,,207,995732.12,2350.18,0.2,14,2026-04-14T10:25:00-04:00,4832.407157,TARGET,4576.16,17223.47,-12647.31,-1.2702,-5.3814
internal_all,commodities,GCF,2026-04-14,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-14T13:05:00-04:00,2026-04-14T13:10:00-04:00,4853.900195,4844.0,2026-04-14T12:30:00-04:00,4843.571582,atr_fallback,4874.557422,2.0,6.885742,,,,206,999903.44,2168.89,0.2,27,2026-04-14T15:20:00-04:00,4864.3,SESSION_END,2142.36,17264.53,-15122.17,-1.5124,-6.9723
internal_all,commodities,GCF,2026-04-15,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-15T09:15:00-04:00,2026-04-15T09:20:00-04:00,4835.3,4855.200195,2026-04-14T14:50:00-04:00,4843.410735,atr_fallback,4819.07853,2.0,5.407157,,,,206,996071.8,1712.01,0.2,2,2026-04-15T09:25:00-04:00,4843.610735,STOP_LOSS,-1712.01,17193.23,-18905.24,-1.898,-11.0427
internal_all,commodities,GCF,2026-04-15,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-15T11:00:00-04:00,2026-04-15T11:05:00-04:00,4832.8,4832.799805,2026-04-15T09:15:00-04:00,4841.671408,atr_fallback,4815.057185,2.0,5.914272,,,,206,995556.8,1868.71,0.2,6,2026-04-15T11:30:00-04:00,4815.257185,TARGET,3613.82,17117.29,-13503.47,-1.3564,-7.2261
internal_all,commodities,GCF,2026-04-15,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-15T14:45:00-04:00,2026-04-15T14:50:00-04:00,4821.2,4821.0,2026-04-15T14:15:00-04:00,4814.81438,atr_fallback,4833.97124,2.0,4.25708,,,,207,997988.4,1363.22,0.2,7,2026-04-15T15:20:00-04:00,4823.900098,SESSION_END,558.92,17211.66,-16652.74,-1.6686,-12.2157
internal_all,commodities,GCF,2026-04-16,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-16T10:00:00-04:00,2026-04-16T10:05:00-04:00,4813.199902,4815.0,2026-04-15T14:25:00-04:00,4827.407108,atr_fallback,4784.785491,2.0,9.47147,,,,207,996332.38,2982.29,0.2,2,2026-04-16T10:10:00-04:00,4827.607108,STOP_LOSS,-2982.29,17213.71,-20196.0,-2.027,-6.772
internal_all,commodities,GCF,2026-04-16,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-16T11:05:00-04:00,2026-04-16T11:10:00-04:00,4830.900195,4828.399902,2026-04-16T10:10:00-04:00,4816.039512,atr_fallback,4860.621561,2.0,9.907122,,,,207,999996.34,3117.56,0.2,15,2026-04-16T12:25:00-04:00,4819.599805,OPPOSITE_STRUCTURE,-2339.18,17209.67,-19548.85,-1.9549,-6.2706
internal_all,commodities,GCF,2026-04-16,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-16T12:20:00-04:00,2026-04-16T12:25:00-04:00,4819.599805,4821.5,2026-04-16T11:40:00-04:00,4828.321223,atr_fallback,4802.156968,2.0,5.814279,,,,207,997657.16,1846.73,0.2,15,2026-04-16T13:35:00-04:00,4802.356968,TARGET,3569.27,17153.96,-13584.69,-1.3617,-7.3561
internal_all,commodities,GCF,2026-04-17,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-17T09:15:00-04:00,2026-04-17T09:20:00-04:00,4886.599902,4815.5,2026-04-16T14:00:00-04:00,4871.557108,atr_fallback,4916.685491,2.0,10.02853,,,,204,996866.38,3109.53,0.2,3,2026-04-17T09:30:00-04:00,4871.357108,STOP_LOSS,-3109.53,17146.16,-20255.69,-2.0319,-6.5141
internal_all,commodities,GCF,2026-04-17,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-17T11:40:00-04:00,2026-04-17T11:45:00-04:00,4880.8,4885.0,2026-04-17T11:00:00-04:00,4895.071606,atr_fallback,4852.256787,2.0,9.514404,,,,204,995683.2,2952.21,0.2,5,2026-04-17T12:05:00-04:00,4895.271606,STOP_LOSS,-2952.21,17202.17,-20154.38,-2.0242,-6.8269
internal_all,commodities,GCF,2026-04-17,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-17T13:20:00-04:00,2026-04-17T13:25:00-04:00,4876.3,4877.299805,2026-04-17T11:40:00-04:00,4883.532143,atr_fallback,4861.835714,2.0,4.821429,,,,205,999641.5,1523.59,0.2,2,2026-04-17T13:30:00-04:00,4883.732143,STOP_LOSS,-1523.59,17252.23,-18775.82,-1.8783,-12.3234
internal_all,commodities,GCF,2026-04-20,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-20T09:15:00-04:00,2026-04-20T09:20:00-04:00,4836.199902,4875.0,2026-04-17T13:40:00-04:00,4847.053453,atr_fallback,4814.492801,2.0,7.2357,,,,206,996257.18,2277.03,0.2,3,2026-04-20T09:30:00-04:00,4847.253453,STOP_LOSS,-2277.03,17203.53,-19480.56,-1.9554,-8.5553
internal_all,commodities,GCF,2026-04-20,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-20T10:55:00-04:00,2026-04-20T11:00:00-04:00,4825.500195,4826.5,2026-04-20T10:10:00-04:00,4837.810847,atr_fallback,4800.878892,2.0,8.207101,,,,207,998878.54,2589.7,0.2,30,2026-04-20T13:30:00-04:00,4830.499805,OPPOSITE_STRUCTURE,-1034.92,17232.96,-18267.88,-1.8288,-7.0541
